draw,model,n_params,AIC,BIC,,,,
1,Base (age + region),8,46919.73531,46984.64725,,,,
1,HL-COVID (+ hl_covid_num),9,46919.87289,46992.89881,,,46920.511,46993.53693
1,VL (+ vl_num),9,46921.52919927207,46994.55512,,,46920.37065,46993.48808
2,Base (age + region),8,46919.73531,46984.64725,,,,
2,HL-COVID (+ hl_covid_num),9,46920.55447,46993.58039,,,,
2,VL (+ vl_num),9,46921.1965,46994.22242,,,,
3,Base (age + region),8,46919.73531,46984.64725,,,,
3,HL-COVID (+ hl_covid_num),9,46920.91476,46993.94069,,,,
3,VL (+ vl_num),9,46921.67609,46994.70202,,,,
4,Base (age + region),8,46919.73531,46984.64725,,,,
4,HL-COVID (+ hl_covid_num),9,46921.73474,46994.76066,,,,
4,VL (+ vl_num),9,46921.71515,46994.74107,,,,
5,Base (age + region),8,46919.73531,46984.64725,,,,
5,HL-COVID (+ hl_covid_num),9,46919.15309,46992.17902,,,,
5,VL (+ vl_num),9,46918.6707,46991.69662,,,,
6,Base (age + region),8,46919.73531,46984.64725,,,,
6,HL-COVID (+ hl_covid_num),9,46919.70268,46992.7286,,,,
6,VL (+ vl_num),9,46920.62538,46993.6513,,,,
7,Base (age + region),8,46919.73531,46984.64725,,,,
7,HL-COVID (+ hl_covid_num),9,46921.73088,46994.75681,,,,
7,VL (+ vl_num),9,46912.85988,46985.8858,,,,
8,Base (age + region),8,46919.73531,46984.64725,,,,
8,HL-COVID (+ hl_covid_num),9,46921.11905,46994.14497,,,,
8,VL (+ vl_num),9,46920.7094,46993.73532,,,,
9,Base (age + region),8,46919.73531,46984.64725,,,,
9,HL-COVID (+ hl_covid_num),9,46920.3212,46993.34713,,,,
9,VL (+ vl_num),9,46921.42414,46994.45006,,,,
10,Base (age + region),8,46919.73531,46984.64725,,,,
10,HL-COVID (+ hl_covid_num),9,46921.72867,46994.7546,,,,
10,VL (+ vl_num),9,46920.5405,46993.56642,,,,
11,Base (age + region),8,46919.73531,46984.64725,,,,
11,HL-COVID (+ hl_covid_num),9,46921.33867,46994.36459,,,,
11,VL (+ vl_num),9,46921.5682,46994.59413,,,,
12,Base (age + region),8,46919.73531,46984.64725,,,,
12,HL-COVID (+ hl_covid_num),9,46919.72072,46992.74665,,,,
12,VL (+ vl_num),9,46921.22954,46994.25546,,,,
13,Base (age + region),8,46919.73531,46984.64725,,,,
13,HL-COVID (+ hl_covid_num),9,46919.82227,46992.8482,,,,
13,VL (+ vl_num),9,46919.60981,46992.63574,,,,
14,Base (age + region),8,46919.73531,46984.64725,,,,
14,HL-COVID (+ hl_covid_num),9,46917.71369,46990.73961,,,,
14,VL (+ vl_num),9,46921.73491,46994.76083,,,,
15,Base (age + region),8,46919.73531,46984.64725,,,,
15,HL-COVID (+ hl_covid_num),9,46920.95219,46993.97811,,,,
15,VL (+ vl_num),9,46921.71048,46994.73641,,,,
16,Base (age + region),8,46919.73531,46984.64725,,,,
16,HL-COVID (+ hl_covid_num),9,46921.62978,46994.6557,,,,
16,VL (+ vl_num),9,46918.22566,46991.25158,,,,
17,Base (age + region),8,46919.73531,46984.64725,,,,
17,HL-COVID (+ hl_covid_num),9,46919.50419,46992.53011,,,,
17,VL (+ vl_num),9,46921.41643,46994.44236,,,,
18,Base (age + region),8,46919.73531,46984.64725,,,,
18,HL-COVID (+ hl_covid_num),9,46920.90213,46993.92805,,,,
18,VL (+ vl_num),9,46921.72641,46994.75234,,,,
19,Base (age + region),8,46919.73531,46984.64725,,,,
19,HL-COVID (+ hl_covid_num),9,46921.29298,46994.3189,,,,
19,VL (+ vl_num),9,46920.03252,46993.05844,,,,
20,Base (age + region),8,46919.73531,46984.64725,,,,
20,HL-COVID (+ hl_covid_num),9,46921.532077262935,46994.55800130567,,,,
20,VL (+ vl_num),9,46921.042268772864,46994.06819,,,,
