draw,hl_measure,term,estimate,std_error
1,HL_COVID,hl_covid_num,-0.01948407846975125,0.014280836142526048
1,HL_COVID,age_group30-44,-0.03681283575810357,0.041793177314314915
1,HL_COVID,age_group45-64,0.11789735566863814,0.03823679962680649
1,HL_COVID,age_group65+,0.4661878899563341,0.04681314146201114
1,HL_COVID,region_hls19North East,-0.11032607378025346,0.03958711502366731
1,HL_COVID,region_hls19North West,-0.06194173993273382,0.03660165666966127
1,HL_COVID,region_hls19South and Islands,-0.04472519271603487,0.03512704641415052
1,VL,vl_num,0.006353004847195734,0.013993596323095284
1,VL,age_group30-44,-0.03576453772118981,0.0417865427653451
1,VL,age_group45-64,0.11981125844130547,0.03821234485021533
1,VL,age_group65+,0.4683745216365984,0.046785033939306414
1,VL,region_hls19North East,-0.10844462794449453,0.03956303506287429
1,VL,region_hls19North West,-0.060634216064129,0.03659163697399893
1,VL,region_hls19South and Islands,-0.04279657617618523,0.035132630372070796
2,HL_COVID,hl_covid_num,0.0154278001843537,0.014194882297971233
2,HL_COVID,age_group30-44,-0.035281247067656424,0.04179020650896315
2,HL_COVID,age_group45-64,0.12073472589986939,0.03822362609640485
2,HL_COVID,age_group65+,0.4696523409365239,0.04680139423730866
2,HL_COVID,region_hls19North East,-0.10711609742144497,0.03958350706737696
2,HL_COVID,region_hls19North West,-0.05975740640331383,0.03660235902103063
2,HL_COVID,region_hls19South and Islands,-0.04234018849786862,0.0351243509018225
2,VL,vl_num,-0.010269625043727524,0.013989391592191825
2,VL,age_group30-44,-0.035737522352985544,0.041786388795929115
2,VL,age_group45-64,0.1201374367878819,0.038215365752949856
2,VL,age_group65+,0.4691259970781956,0.04679621883538104
2,VL,region_hls19North East,-0.10865410272132414,0.039563631355614075
2,VL,region_hls19North West,-0.06092828561730976,0.03659175248303285
2,VL,region_hls19South and Islands,-0.044100604245984366,0.03512739555836342
3,HL_COVID,hl_covid_num,-0.012903744205763469,0.014249612942346333
3,HL_COVID,age_group30-44,-0.03639243151619216,0.04179141222485178
3,HL_COVID,age_group45-64,0.11874318848838374,0.03822928565063977
3,HL_COVID,age_group65+,0.46680829027685256,0.046817393255746735
3,HL_COVID,region_hls19North East,-0.10921722962482561,0.039571387326769326
3,HL_COVID,region_hls19North West,-0.06082475307316353,0.03659068156801434
3,HL_COVID,region_hls19South and Islands,-0.043841053591534035,0.03511617279462884
3,VL,vl_num,0.003396588860734406,0.013960720077650748
3,VL,age_group30-44,-0.035782622036270875,0.04178653315687522
3,VL,age_group45-64,0.11969981971651206,0.0382132942087351
3,VL,age_group65+,0.46831315538821583,0.04678655967073232
3,VL,region_hls19North East,-0.10843895529167444,0.03956347613298309
3,VL,region_hls19North West,-0.060714116423438165,0.0365908685256215
3,VL,region_hls19South and Islands,-0.04309609553269486,0.03512623110800057
4,HL_COVID,hl_covid_num,3.4123558730486377e-4,0.014235497155803571
4,HL_COVID,age_group30-44,-0.03578595132988987,0.04180523079829589
4,HL_COVID,age_group45-64,0.11981405001714296,0.03823307561394875
4,HL_COVID,age_group65+,0.46845342447961275,0.04681266577156046
4,HL_COVID,region_hls19North East,-0.10847003262579666,0.039578320868536326
4,HL_COVID,region_hls19North West,-0.06073623455942396,0.036596555717228425
4,HL_COVID,region_hls19South and Islands,-0.043317785321732465,0.03512581830439291
4,VL,vl_num,0.0019885972846215953,0.01401080401157999
4,VL,age_group30-44,-0.03575205321597474,0.04178954133439781
4,VL,age_group45-64,0.11977285195907554,0.03821210356170518
4,VL,age_group65+,0.46836304376912713,0.046785565479402214
4,VL,region_hls19North East,-0.10849350676512526,0.039562843310093944
4,VL,region_hls19North West,-0.060744561247848106,0.036590614827182316
4,VL,region_hls19South and Islands,-0.04319924942377759,0.03512694042624953
5,HL_COVID,hl_covid_num,-0.022855782338918197,0.014226900316640308
5,HL_COVID,age_group30-44,-0.036885581634823805,0.04179321043049295
5,HL_COVID,age_group45-64,0.11823444163445378,0.038225652763976076
5,HL_COVID,age_group65+,0.466359028488981,0.046803010721922916
5,HL_COVID,region_hls19North East,-0.11044067194919206,0.039583310510316314
5,HL_COVID,region_hls19North West,-0.06174755035644718,0.036597335640675625
5,HL_COVID,region_hls19South and Islands,-0.044744358601785335,0.03512313296644329
5,VL,vl_num,-0.024607895752918163,0.014060155273342048
5,VL,age_group30-44,-0.03620773444347465,0.041788629634313124
5,VL,age_group45-64,0.12052199099804975,0.0382162364425868
5,VL,age_group65+,0.46990921548471015,0.046795349534253856
5,VL,region_hls19North East,-0.10882118919423395,0.03956499256802473
5,VL,region_hls19North West,-0.06070478966625312,0.03659183842347
5,VL,region_hls19South and Islands,-0.04436819116067119,0.03511774850008496
6,HL_COVID,hl_covid_num,0.020242094448508358,0.014195262675099525
6,HL_COVID,age_group30-44,-0.034585130489635435,0.04179602149054137
6,HL_COVID,age_group45-64,0.12139075469524883,0.03822977256189527
6,HL_COVID,age_group65+,0.4701511809041038,0.04680263246029456
6,HL_COVID,region_hls19North East,-0.10709301675408754,0.039576162573327515
6,HL_COVID,region_hls19North West,-0.05981790819289827,0.03659735907612356
6,HL_COVID,region_hls19South and Islands,-0.04197637291473285,0.035125672855364366
6,VL,vl_num,0.014768474249099448,0.01401692148272572
6,VL,age_group30-44,-0.03588391718390151,0.04178707290321907
6,VL,age_group45-64,0.1195410801700211,0.03821345344911547
6,VL,age_group65+,0.4681153767949506,0.04678674896717573
6,VL,region_hls19North East,-0.10790642118154568,0.03956705879838286
6,VL,region_hls19North West,-0.060234548998744863,0.03659437315145067
6,VL,region_hls19South and Islands,-0.041915313498841714,0.035138269050124855
7,HL_COVID,hl_covid_num,9.430085246920502e-4,0.014199627692073911
7,HL_COVID,age_group30-44,-0.03576194047070662,0.041797858465261795
7,HL_COVID,age_group45-64,0.11984240062493205,0.03822729808734221
7,HL_COVID,age_group65+,0.4685025232958882,0.04681521003990414
7,HL_COVID,region_hls19North East,-0.10842642142593197,0.039575096866572554
7,HL_COVID,region_hls19North West,-0.06070419056911893,0.03659847750112483
7,HL_COVID,region_hls19South and Islands,-0.04327536030649453,0.03512655688350978
7,VL,vl_num,-0.04177266045162735,0.0140278180363601
7,VL,age_group30-44,-0.03561757024532701,0.041791389421132766
7,VL,age_group45-64,0.12078182358498687,0.03821820405297802
7,VL,age_group65+,0.4709813049786334,0.04679992490137281
7,VL,region_hls19North East,-0.10911368719094422,0.03956799901017754
7,VL,region_hls19North West,-0.06162732738932142,0.036595499872116556
7,VL,region_hls19South and Islands,-0.046660918082449765,0.03513389543200337
8,HL_COVID,hl_covid_num,-0.011171263163783963,0.014232192781688666
8,HL_COVID,age_group30-44,-0.03700209067829003,0.04181335620135487
8,HL_COVID,age_group45-64,0.11818829698640784,0.03826534085589071
8,HL_COVID,age_group65+,0.4673631775213397,0.04680388065378363
8,HL_COVID,region_hls19North East,-0.1094362200929191,0.039581410571201375
8,HL_COVID,region_hls19North West,-0.06165329004202854,0.0366087882062572
8,HL_COVID,region_hls19South and Islands,-0.0443985610793908,0.03513764006875808
8,VL,vl_num,0.014184989560816607,0.014003291092622381
8,VL,age_group30-44,-0.03553727467117758,0.04178779816519784
8,VL,age_group45-64,0.11962171007079912,0.038212898112796864
8,VL,age_group65+,0.46781316434371373,0.04678892449541003
8,VL,region_hls19North East,-0.10791749929750957,0.03956718957031954
8,VL,region_hls19North West,-0.0605133606365672,0.03659160139916027
8,VL,region_hls19South and Islands,-0.042121862726988556,0.03513224337906732
9,HL_COVID,hl_covid_num,-0.016874254205197763,0.014192801013798642
9,HL_COVID,age_group30-44,-0.037099121827300664,0.04180076684728193
9,HL_COVID,age_group45-64,0.11835368008554235,0.038231484188926294
9,HL_COVID,age_group65+,0.4670625189255863,0.04679918598465194
9,HL_COVID,region_hls19North East,-0.10971080875158762,0.039576545771180166
9,HL_COVID,region_hls19North West,-0.061508350916782896,0.036596606923238476
9,HL_COVID,region_hls19South and Islands,-0.04457972087045269,0.03512772298546749
9,VL,vl_num,-0.007800680095519391,0.013984574760704941
9,VL,age_group30-44,-0.03593188754508304,0.041786627050350196
9,VL,age_group45-64,0.1196886170132308,0.03821232225202725
9,VL,age_group65+,0.46866321586181225,0.04678743949664038
9,VL,region_hls19North East,-0.10865292618309243,0.03956424214258602
9,VL,region_hls19North West,-0.06066789411096129,0.0365909061477873
9,VL,region_hls19South and Islands,-0.04389317216920503,0.03512561797147955
10,HL_COVID,hl_covid_num,0.0011599284233899838,0.01423076568412096
10,HL_COVID,age_group30-44,-0.03572849582028567,0.04180280542233448
10,HL_COVID,age_group45-64,0.11989607653159395,0.03824119523785034
10,HL_COVID,age_group65+,0.4685311850971024,0.04681088204698043
10,HL_COVID,region_hls19North East,-0.1083768390692773,0.03958457881266863
10,HL_COVID,region_hls19North West,-0.06067809333470688,0.03660312520318951
10,HL_COVID,region_hls19South and Islands,-0.043280843103412604,0.035119987179226084
10,VL,vl_num,-0.015381227817367693,0.014072970119203766
10,VL,age_group30-44,-0.03589962603965941,0.041787402716329705
10,VL,age_group45-64,0.11991549998431004,0.03821337784326191
10,VL,age_group65+,0.4692030166243788,0.046791712785175056
10,VL,region_hls19North East,-0.10862260379881092,0.03956366868142685
10,VL,region_hls19North West,-0.06109081266715377,0.03659274023295855
10,VL,region_hls19South and Islands,-0.04437946788708497,0.03512505958788272
11,HL_COVID,hl_covid_num,0.008949484357362633,0.014208938425529671
11,HL_COVID,age_group30-44,-0.035065751061763455,0.04180370509189835
11,HL_COVID,age_group45-64,0.12059317686065311,0.03823427873188843
11,HL_COVID,age_group65+,0.46947094564418845,0.046816274948626425
11,HL_COVID,region_hls19North East,-0.1078923365666687,0.039574170650924986
11,HL_COVID,region_hls19North West,-0.06042898552176686,0.03659425248284848
11,HL_COVID,region_hls19South and Islands,-0.042829633087243656,0.03512131840678745
11,VL,vl_num,-0.005703041852566877,0.013950830501678217
11,VL,age_group30-44,-0.03585607320962791,0.04178643049091123
11,VL,age_group45-64,0.11988268028191644,0.038213248511533286
11,VL,age_group65+,0.4687125677031906,0.04679130948033829
11,VL,region_hls19North East,-0.10852582681088101,0.039562861658547714
11,VL,region_hls19North West,-0.06080799913718782,0.036590818161899165
11,VL,region_hls19South and Islands,-0.04378818959828714,0.035128574189276916
12,HL_COVID,hl_covid_num,0.020177704181099897,0.014213528334417063
12,HL_COVID,age_group30-44,-0.03490762171913957,0.04179251279373442
12,HL_COVID,age_group45-64,0.12155797323185757,0.038234323301607656
12,HL_COVID,age_group65+,0.4705952600092332,0.04681278022421937
12,HL_COVID,region_hls19North East,-0.1075943911422514,0.03956851189066265
12,HL_COVID,region_hls19North West,-0.06018376111957143,0.03659408166156005
12,HL_COVID,region_hls19South and Islands,-0.042354152527687865,0.0351196932385831
12,VL,vl_num,0.00998060032818789,0.01403326476006302
12,VL,age_group30-44,-0.035640386308443434,0.041787260643257766
12,VL,age_group45-64,0.11977801394504944,0.03821230760395308
12,VL,age_group65+,0.46822041663375813,0.04678614147882802
12,VL,region_hls19North East,-0.10818037496679862,0.039565468089721376
12,VL,region_hls19North West,-0.06061210603506516,0.036591148881627476
12,VL,region_hls19South and Islands,-0.04267460282130001,0.035124409922883106
13,HL_COVID,hl_covid_num,0.019673262620555503,0.014222147967430215
13,HL_COVID,age_group30-44,-0.03442652321761919,0.04179922739188328
13,HL_COVID,age_group45-64,0.12136209306092181,0.038230106494590514
13,HL_COVID,age_group65+,0.47094756839704377,0.046823005292419353
13,HL_COVID,region_hls19North East,-0.10683655105027474,0.03958114283649134
13,HL_COVID,region_hls19North West,-0.0598771043678679,0.036596388223164175
13,HL_COVID,region_hls19South and Islands,-0.04211620197024285,0.03512341272397235
13,VL,vl_num,-0.020530111361707005,0.014084254840369488
