draw,hl_measure,logLik_base,logLik_full,chi_sq,df,p_value
1,HL_COVID,-23451.867657092367,-23450.93644251555,1.8624291536325472,1,0.172344702723152
1,VL,-23451.867657092367,-23451.764599636033,0.20611491266754456,1,0.649829688700012
2,HL_COVID,-23451.867657092367,-23451.277235059668,1.18084406539856,1,0.2771842276031765
2,VL,-23451.867657092367,-23451.5982503008,0.5388135831308318,1,0.4629248323515547
3,HL_COVID,-23451.867657092367,-23451.4573818941,0.8205503965364187,1,0.365019291971972
3,VL,-23451.867657092367,-23451.83804560143,0.05922298187215347,1,0.8077282907482273
4,HL_COVID,-23451.867657092367,-23451.867369885487,5.744137597503141e-4,1,0.9808789867279953
4,VL,-23451.867657092367,-23451.857574113892,0.020165956950222608,1,0.8870745630140309
5,HL_COVID,-23451.867657092367,-23450.576547233413,2.5822197179077193,1,0.10807001857055061
5,VL,-23451.867657092367,-23450.33534915412,3.0646158764939173,1,0.08001407137202514
6,HL_COVID,-23451.867657092367,-23450.851337769942,2.032638644850522,1,0.15395311790988586
6,VL,-23451.867657092367,-23451.312688653845,1.1099368770446745,1,0.2920956704739543
7,HL_COVID,-23451.867657092367,-23451.865441408303,0.004431368128280155,1,0.9469252059022458
7,VL,-23451.867657092367,-23447.429938763515,8.875436657704995,1,0.0028903310106309457
8,HL_COVID,-23451.867657092367,-23451.5595229389,0.6162683069342165,1,0.43243739621435523
8,VL,-23451.867657092367,-23451.35469960901,1.0259149667108431,1,0.3111200594291352
9,HL_COVID,-23451.867657092367,-23451.16060218269,1.4141098193576909,1,0.2343753362119137
9,VL,-23451.867657092367,-23451.71206802487,0.3111781349944067,1,0.5769581329299117
10,HL_COVID,-23451.867657092367,-23451.86433560824,0.006642968255619053,1,0.9350408207734253
10,VL,-23451.867657092367,-23451.27024810672,1.1948179712926503,1,0.27435986423707226
11,HL_COVID,-23451.867657092367,-23451.66933331136,0.3966475620109122,1,0.5288256939755792
11,VL,-23451.867657092367,-23451.784101010515,0.16711216370458715,1,0.6826911762500613
12,HL_COVID,-23451.867657092367,-23450.86036232753,2.0145895296736853,1,0.15579339800744035
12,VL,-23451.867657092367,-23451.614770437485,0.5057733097637538,1,0.4769743047333326
13,HL_COVID,-23451.867657092367,-23450.911135489117,1.9130432064994238,1,0.1666256058549424
13,VL,-23451.867657092367,-23450.80490663787,2.1255009089945816,1,0.14486541421699828
14,HL_COVID,-23451.867657092367,-23449.856843811274,4.021626562185702,1,0.04492037090538999
14,VL,-23451.867657092367,-23451.86745323904,4.077066550962627e-4,1,0.9838904113232171
15,HL_COVID,-23451.867657092367,-23451.476095012124,0.7831241604872048,1,0.3761873602825554
15,VL,-23451.867657092367,-23451.85524197887,0.02483022699743742,1,0.8747908384271563
16,HL_COVID,-23451.867657092367,-23451.81488765431,0.10553887611604296,1,0.7452813742589082
16,VL,-23451.867657092367,-23450.112828700087,3.50965678456123,1,0.061012093762765854
17,HL_COVID,-23451.867657092367,-23450.752093126244,2.2311279322457267,1,0.13525507771779458
17,VL,-23451.867657092367,-23451.708215940922,0.3188823028904153,1,0.5722801154028768
18,HL_COVID,-23451.867657092367,-23451.451063754586,0.833186675561592,1,0.36135268417450894
18,VL,-23451.867657092367,-23451.863206564532,0.008901055669412017,1,0.9248347818196159
19,HL_COVID,-23451.867657092367,-23451.64648917321,0.44233583831373835,1,0.5059971950461848
19,VL,-23451.867657092367,-23451.016260101944,1.7027939808467636,1,0.1919229903507418
20,HL_COVID,-23451.867657092367,-23451.766038631467,0.20323692179954378,1,0.6521206849644291
20,VL,-23451.867657092367,-23451.521134386432,0.6930454118701164,1,0.4051304508995842
