model_number,model_type,draw,metric,Q_i,U_i
model_1,xgboost,1,precision,0.983542525642885,5.828053229379293e-7
model_1,xgboost,1,recall,0.8209148104063935,3.402921763996883e-5
model_1,xgboost,1,roc_auc,0.8164182206351905,5.5946948324056824e-5
model_1,xgboost,1,accuracy,0.8150986466655796,3.0324066325959078e-5
model_1,xgboost,1,f1,0.89485411142707,1.2157725380707858e-5
model_1,xgboost,2,precision,0.9836983542675473,6.023899215801532e-7
model_1,xgboost,2,recall,0.8227172249617413,3.417147106902111e-5
model_1,xgboost,2,roc_auc,0.8162321222770126,5.824048179328571e-5
model_1,xgboost,2,accuracy,0.8169248328713516,3.0380960506160367e-5
model_1,xgboost,2,f1,0.8959884574126079,1.2136623085686594e-05
model_1,xgboost,3,precision,0.9834440644420055,7.909838180266726e-7
model_1,xgboost,3,recall,0.8219350450603639,3.112053980203243e-5
model_1,xgboost,3,roc_auc,0.8168568135750588,5.980249079662e-5
model_1,xgboost,3,accuracy,0.8159791293005054,2.7648444692569254e-5
model_1,xgboost,3,f1,0.8954226387370218,1.1040408132682265e-5
model_1,xgboost,4,precision,0.9837170487665812,6.223103412046346e-7
model_1,xgboost,4,recall,0.8214589355551777,3.3744710781864424e-5
model_1,xgboost,4,roc_auc,0.8171562038633965,5.7895129346900744e-5
model_1,xgboost,4,accuracy,0.8157508560247839,2.9045276574706527e-5
model_1,xgboost,4,f1,0.8952484576512901,1.1702383213956696e-5
model_1,xgboost,5,precision,0.9836641548909175,8.228751887417883e-7
model_1,xgboost,5,recall,0.8208467947627954,2.789728527546019e-5
model_1,xgboost,5,roc_auc,0.8157668089057308,5.4031509849856756e-5
model_1,xgboost,5,accuracy,0.8151312571335398,2.4468219535712245e-5
model_1,xgboost,5,f1,0.8948712114197181,9.79899301063372e-6
model_1,xgboost,6,precision,0.9836578015547106,5.431736985053983e-7
model_1,xgboost,6,recall,0.8228532562489372,2.7604682693751403e-5
model_1,xgboost,6,roc_auc,0.8166044539450423,6.140587175075784e-5
model_1,xgboost,6,accuracy,0.8170226642752324,2.5435952320443752e-5
model_1,xgboost,6,f1,0.8960624343593095,1.00579210184047e-5
model_1,xgboost,7,precision,0.9832045340827927,7.152249078480219e-7
model_1,xgboost,7,recall,0.8217650059513688,3.527248947924567e-5
model_1,xgboost,7,roc_auc,0.8168438582143734,5.107763937523228e-5
model_1,xgboost,7,accuracy,0.8156204141529431,2.9966217884132534e-5
model_1,xgboost,7,f1,0.8952150593954523,1.209510377794174e-5
model_1,xgboost,8,precision,0.9837023476659881,5.610743454900668e-7
model_1,xgboost,8,recall,0.8210168338717905,3.775672009391258e-5
model_1,xgboost,8,roc_auc,0.8175496554683768,6.0652643853106296e-5
model_1,xgboost,8,accuracy,0.8153269199413012,3.4350791808801273e-5
model_1,xgboost,8,f1,0.8949770394228664,1.3736290152668656e-5
model_1,xgboost,9,precision,0.9835641257751727,7.219114363547137e-7
model_1,xgboost,9,recall,0.8222751232783541,3.760868400514304e-5
model_1,xgboost,9,roc_auc,0.8173530308796421,5.570556241088955e-5
model_1,xgboost,9,accuracy,0.8164030653839882,3.5431249511314814e-5
model_1,xgboost,9,f1,0.8956685643719411,1.4012879795624356e-5
model_1,xgboost,10,precision,0.9832743556735558,5.289267467353014e-7
model_1,xgboost,10,recall,0.8214249277333787,3.1652544496048714e-5
model_1,xgboost,10,roc_auc,0.8173520862179253,5.3665211229326465e-5
model_1,xgboost,10,accuracy,0.8153595304092613,2.7454366414312606e-5
model_1,xgboost,10,f1,0.8950483186444151,1.1014356733330706e-5
model_1,xgboost,11,precision,0.9829741511109267,6.72693841472824e-7
model_1,xgboost,11,recall,0.822139091991158,2.4871219445257416e-5
model_1,xgboost,11,roc_auc,0.8146020410091146,5.151250284378849e-5
model_1,xgboost,11,accuracy,0.8157834664927442,1.9991126103052505e-5
model_1,xgboost,11,f1,0.8953543295448839,8.135411792927342e-6
model_1,xgboost,12,precision,0.9833223675611081,4.1031869988890504e-7
model_1,xgboost,12,recall,0.8218330215949669,3.347408230708227e-5
model_1,xgboost,12,roc_auc,0.8175835958143389,4.8106668904529805e-5
model_1,xgboost,12,accuracy,0.8157834664927441,2.8881506411136637e-5
