number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
0,4,1,sqrt,2,0.8199423983857077,0.0013153060605961481
1,8,1,sqrt,2,0.8328893292641055,0.001235673560499676
2,16,1,sqrt,2,0.82780333048273,0.0023242469619517243
3,32,1,sqrt,2,0.8298971672506886,0.001841296100061691
4,4,5,sqrt,2,0.819921965154306,0.0013123460438940146
5,8,5,sqrt,2,0.8329111023795335,0.001198409104919709
6,16,5,sqrt,2,0.83268352307766,0.001820548196369594
7,32,5,sqrt,2,0.8315147422414852,0.001548011920330874
8,4,20,sqrt,2,0.8198842474189646,0.0013066590376631616
9,8,20,sqrt,2,0.8325507405706499,0.0010895804315549918
10,16,20,sqrt,2,0.8343530185744773,0.0013622449718146705
11,32,20,sqrt,2,0.8335133802493725,0.001349949061330791
12,4,50,sqrt,2,0.8198504488444003,0.0013242096422402194
13,8,50,sqrt,2,0.8314657694803226,0.0012251528064696209
14,16,50,sqrt,2,0.8333445548620539,0.0013143430350553685
15,32,50,sqrt,2,0.8333213748683982,0.0013192258477052092
16,4,100,sqrt,2,0.819633923585744,0.0013465413761206098
17,8,100,sqrt,2,0.8300916514171116,0.0010716188193411822
18,16,100,sqrt,2,0.8323831880731563,9.793711733134187e-4
19,32,100,sqrt,2,0.8323344162945976,9.836522285424521e-4
20,4,1,log2,2,0.8202014314650995,0.0016983463792625384
21,8,1,log2,2,0.8309302848291966,0.0012878527730087984
22,16,1,log2,2,0.8265579082802488,0.0019398116288749409
23,32,1,log2,2,0.8292364034431,0.0016193899309646887
24,4,5,log2,2,0.8201715520513122,0.0016930215493798557
25,8,5,log2,2,0.830992723424824,0.0011774587622546144
26,16,5,log2,2,0.8337038447637164,0.001214960433989886
27,32,5,log2,2,0.8326711961446177,0.001015195869789495
28,4,20,log2,2,0.8201371840260366,0.0016806957491530597
29,8,20,log2,2,0.8307769351023822,0.0014326949739356374
30,16,20,log2,2,0.8335100305393067,0.0011193793392683918
31,32,20,log2,2,0.8328500706621338,0.0011370800211701472
32,4,50,log2,2,0.8200368267124639,0.001674930074796109
33,8,50,log2,2,0.8301813566526749,0.0014003912792186993
34,16,50,log2,2,0.8329673105144384,0.0012322340234844867
35,32,50,log2,2,0.8328400215319363,0.0012125063445258659
36,4,100,log2,2,0.8198119941728443,0.001686092805678969
37,8,100,log2,2,0.8291362471121312,0.0012735468923471918
38,16,100,log2,2,0.8315059660011128,0.0011509061122370406
39,32,100,log2,2,0.8314772924829491,0.0011387120623134802
40,4,1,all,2,0.8053892480336364,0.002622961837587957
41,8,1,all,2,0.8178161029272111,0.0016756288460444573
42,16,1,all,2,0.8079638016931444,0.0015991316889521323
43,32,1,all,2,0.8083727677950835,0.0015533664309849062
44,4,5,all,2,0.8053912578596759,0.0026269305211552236
45,8,5,all,2,0.8185237626757216,0.001601233921769831
46,16,5,all,2,0.8121426654915884,0.0018120127705473416
47,32,5,all,2,0.8126611671126805,0.0017819157180979726
48,4,20,all,2,0.8052831627158511,0.002712892762739688
49,8,20,all,2,0.8214384793924162,0.001274154237510073
50,16,20,all,2,0.8211494999050357,0.0018613005923655203
51,32,20,all,2,0.8210205360675007,0.0017592095366847692
52,4,50,all,2,0.8050609429500829,0.0026567537841020155
53,8,50,all,2,0.8215353530075205,0.0015677782812734478
54,16,50,all,2,0.8219654892770756,0.0011902921106691842
55,32,50,all,2,0.8218247344601088,0.001169801382093469
56,4,100,all,2,0.8054200988633429,0.002526093058122056
57,8,100,all,2,0.8189275032299579,0.0016207264833731885
58,16,100,all,2,0.8203718982103504,0.0012961854218919192
59,32,100,all,2,0.8204529946910445,0.0012567008044472431
60,4,1,sqrt,10,0.8199423983857077,0.0013153060605961481
61,8,1,sqrt,10,0.8330992220968314,0.001185304108644842
62,16,1,sqrt,10,0.8293857335178354,0.0018268295688431589
63,32,1,sqrt,10,0.8312054635111058,0.0013037441048271725
64,4,5,sqrt,10,0.819921965154306,0.0013123460438940146
65,8,5,sqrt,10,0.8328882573568844,0.0012073726688929822
66,16,5,sqrt,10,0.8324995570008438,0.0015399664990763905
67,32,5,sqrt,10,0.8315091482256753,0.0012271733203307244
68,4,20,sqrt,10,0.8198842474189646,0.0013066590376631616
69,8,20,sqrt,10,0.8325507405706499,0.0010895804315549918
70,16,20,sqrt,10,0.8343530185744773,0.0013622449718146705
71,32,20,sqrt,10,0.8335133802493725,0.001349949061330791
72,4,50,sqrt,10,0.8198504488444003,0.0013242096422402194
73,8,50,sqrt,10,0.8314657694803226,0.0012251528064696209
74,16,50,sqrt,10,0.8333445548620539,0.0013143430350553685
75,32,50,sqrt,10,0.8333213748683982,0.0013192258477052092
76,4,100,sqrt,10,0.819633923585744,0.0013465413761206098
77,8,100,sqrt,10,0.8300916514171116,0.0010716188193411822
78,16,100,sqrt,10,0.8323831880731563,9.793711733134187e-4
79,32,100,sqrt,10,0.8323344162945976,9.836522285424521e-4
80,4,1,log2,10,0.8202015654535022,0.0016982594678264327
81,8,1,log2,10,0.8312261982164134,0.0012685499867461315
82,16,1,log2,10,0.8271360682376137,0.0016981591037852327
83,32,1,log2,10,0.8297694763029786,0.0013989039645950594
84,4,5,log2,10,0.8201715520513122,0.0016930215493798557
85,8,5,log2,10,0.8309753719266829,0.0011608770852787947
86,16,5,log2,10,0.8335760868218052,0.0015127345894835754
87,32,5,log2,10,0.8329366941644366,0.0011627627652722847
88,4,20,log2,10,0.8201371840260366,0.0016806957491530597
89,8,20,log2,10,0.8307769351023822,0.0014326949739356374
90,16,20,log2,10,0.8335100305393067,0.0011193793392683918
91,32,20,log2,10,0.8328500706621338,0.0011370800211701472
92,4,50,log2,10,0.8200368267124639,0.001674930074796109
93,8,50,log2,10,0.8301813566526749,0.0014003912792186993
94,16,50,log2,10,0.8329673105144384,0.0012322340234844867
95,32,50,log2,10,0.8328400215319363,0.0012125063445258659
96,4,100,log2,10,0.8198119941728443,0.001686092805678969
97,8,100,log2,10,0.8291362471121312,0.0012735468923471918
98,16,100,log2,10,0.8315059660011128,0.0011509061122370406
99,32,100,log2,10,0.8314772924829491,0.0011387120623134802
100,4,1,all,10,0.8053892480336364,0.002622961837587957
101,8,1,all,10,0.8178210604981085,0.0016734047447847155
102,16,1,all,10,0.8077747105599274,0.0015363359118655956
103,32,1,all,10,0.8084013073248445,0.0013353790310742613
104,4,5,all,10,0.8053912578596759,0.0026269305211552236
105,8,5,all,10,0.8185216188612795,0.0015997177849449763
106,16,5,all,10,0.8125463055545228,0.0017809663851621224
107,32,5,all,10,0.8129945637555341,0.0017755255250731135
108,4,20,all,10,0.8052831627158511,0.002712892762739688
109,8,20,all,10,0.8214384793924162,0.001274154237510073
110,16,20,all,10,0.8211494999050357,0.0018613005923655203
111,32,20,all,10,0.8210205360675007,0.0017592095366847692
112,4,50,all,10,0.8050609429500829,0.0026567537841020155
113,8,50,all,10,0.8215353530075205,0.0015677782812734478
114,16,50,all,10,0.8219654892770756,0.0011902921106691842
115,32,50,all,10,0.8218247344601088,0.001169801382093469
116,4,100,all,10,0.8054200988633429,0.002526093058122056
117,8,100,all,10,0.8189275032299579,0.0016207264833731885
118,16,100,all,10,0.8203718982103504,0.0012961854218919192
119,32,100,all,10,0.8204529946910445,0.0012567008044472431
120,4,1,sqrt,50,0.819935698965576,0.0013197866335516635
121,8,1,sqrt,50,0.8327720894118009,0.0012147595600932176
122,16,1,sqrt,50,0.8328962966610425,0.0016171407514020803
123,32,1,sqrt,50,0.8321424779078247,0.0014440002658262369
124,4,5,sqrt,50,0.8199172755602139,0.001316501815094991
125,8,5,sqrt,50,0.8328538223374076,0.0011657970296923025
126,16,5,sqrt,50,0.8341006514181165,0.0016075773422847453
127,32,5,sqrt,50,0.8331837687788933,0.0016424333598469383
128,4,20,sqrt,50,0.8198865252218094,0.001307824905169033
129,8,20,sqrt,50,0.8326896865441812,0.001065366931881699
130,16,20,sqrt,50,0.8339424781088073,0.0011983402857948257
131,32,20,sqrt,50,0.8331973686017606,0.0012881740975019956
132,4,50,sqrt,50,0.8198504488444003,0.0013242096422402194
133,8,50,sqrt,50,0.8314657694803226,0.0012251528064696209
134,16,50,sqrt,50,0.8333445548620539,0.0013143430350553685
135,32,50,sqrt,50,0.8333213748683982,0.0013192258477052092
136,4,100,sqrt,50,0.819633923585744,0.0013465413761206098
137,8,100,sqrt,50,0.8300916514171116,0.0010716188193411822
138,16,100,sqrt,50,0.8323831880731563,9.793711733134187e-4
139,32,100,sqrt,50,0.8323344162945976,9.836522285424521e-4
140,4,1,log2,50,0.8202010294998916,0.0016964188112936175
141,8,1,log2,50,0.8309656577674919,0.001503769933562065
142,16,1,log2,50,0.8324430138949324,0.0020699983239164154
143,32,1,log2,50,0.8319031746207207,0.0019818755425623814
144,4,5,log2,50,0.820179524361269,0.0016934010610645985
145,8,5,log2,50,0.8311271137926657,0.0014212622180639753
146,16,5,log2,50,0.833705653607152,0.001544789996992018
147,32,5,log2,50,0.832795336399658,0.0012628918217373318
148,4,20,log2,50,0.8201373180144392,0.0016808681295573825
149,8,20,log2,50,0.8307582437202148,0.0014410822825123974
150,16,20,log2,50,0.8338914955216051,0.0012004947828323095
151,32,20,log2,50,0.8332731390434501,0.0012043430823172909
152,4,50,log2,50,0.8200368267124639,0.001674930074796109
153,8,50,log2,50,0.8301813566526749,0.0014003912792186993
154,16,50,log2,50,0.8329673105144384,0.0012322340234844867
155,32,50,log2,50,0.8328400215319363,0.0012125063445258659
156,4,100,log2,50,0.8198119941728443,0.001686092805678969
157,8,100,log2,50,0.8291362471121312,0.0012735468923471918
158,16,100,log2,50,0.8315059660011128,0.0011509061122370406
159,32,100,log2,50,0.8314772924829491,0.0011387120623134802
160,4,1,all,50,0.8053892480336364,0.002622961837587957
161,8,1,all,50,0.8185611454400564,0.0016411192561010402
162,16,1,all,50,0.8106214281622854,0.0015225964612913593
163,32,1,all,50,0.8107671405501496,0.0015672348023266754
164,4,5,all,50,0.8053912578596759,0.0026269305211552236
165,8,5,all,50,0.8190985729230207,0.0016538662550705891
166,16,5,all,50,0.8151254818139216,0.0016772002079567371
