feature,mean_importance,median_importance,sd_importance
i11_health_Very willing,0.16560132128613997,0.16585532815787507,0.007949398150645885
i9_health_Yes,0.15898494139172586,0.15750612912103878,0.00950234473445647
r1_1,0.1535383116963391,0.15358094325896793,0.006166950140957636
i2_health,0.10070168305164413,0.1002055252744757,0.003796986843838806
week_number,0.09650638158635222,0.09611496791573154,0.00404968665878576
age,0.03678636195873107,0.0367474821188847,0.0016951760371751693
i9_health_Not sure,0.025542868814008714,0.025540026504756667,0.0025275074211171616
gender_Male,0.024636222298331012,0.024415680320650703,0.0017850382643963124
i11_health_Very unwilling,0.022559448406096774,0.02249272331003316,0.002249316669968211
WCRex1_Very badly,0.02106355066569399,0.021216752151592702,0.0020691040528847677
household_size,0.018345993850990394,0.01837439226389187,0.001045320815278237
WCRex2_No confidence at all,0.01758127220984887,0.01738259494780202,0.002019422448857852
vaccination_status_2,0.01442096846063281,0.014507428734694273,0.001010805686295965
WCRex1_Somewhat well,0.010550569214668655,0.010611958582490755,9.626234989810272e-4
r1_2,0.009725226649989207,0.009703824528523048,4.822938828559326e-4
cantril_ladder,0.009561830213812307,0.009553392670172281,3.520447886921188e-4
vaccination_status_3,0.009435133736066869,0.009425920820300622,7.580964213763871e-4
i11_health_Somewhat unwilling,0.008400853038366629,0.008331718051054354,9.99559793833094e-4
i11_health_Somewhat willing,0.008208887382674036,0.008183372369207676,6.252865816303795e-4
region_South,0.005482963416250808,0.00549432412677685,5.163958149956733e-4
employment_status_Retired,0.00439594107838438,0.004375788849104137,3.9559487197924644e-4
vaccination_status_1,0.004300460972875276,0.00429894153496072,4.085378815481215e-4
employment_status_Not working,0.0037516421151579105,0.0037419595547428615,4.162634247351787e-4
region_Islands,0.0037512373310049176,0.0037341265812314813,2.847500832069725e-4
region_North east,0.003760383416733945,0.003726209231551715,4.089828474036747e-4
PHQ4_2_Not at all,0.0034101800274797165,0.0033780436728572763,2.591584375625999e-4
vl_num,0.0032890057135883085,0.0032836491583493237,1.5195797778460297e-4
d1_comorbidities_Yes,0.0032704931771973616,0.003268248949681637,2.343494731978353e-4
hl_covid_num,0.0032019737295635154,0.0032097834216425437,1.392428377619259e-4
PHQ4_4_Nearly every day,0.0029097826464063487,0.0028920797480006576,2.3652578208412523e-4
PHQ4_1_Several days,0.0027678422740758275,0.0027549568999162295,1.999900748124081e-4
PHQ4_3_Not at all,0.00261695464222518,0.002635808450555888,2.2576861549737745e-4
PHQ4_4_Not at all,0.002524220189683078,0.0025462472384755784,2.2128950400283862e-4
PHQ4_1_Not at all,0.00248530806017543,0.0024986099458766792,1.413505397420834e-4
PHQ4_2_Several days,0.0023830745661679955,0.0023940653766747417,1.6580772826145737e-4
WCRex2_A lot of confidence,0.002263468347318478,0.0022487341491204803,1.8135260457699493e-4
WCRex2_Not very much confidence,0.0022386529268694534,0.002230410417398136,1.607512573760919e-4
region_North west,0.0022192355307125372,0.0022288438157278736,1.7198874130710035e-4
WCRex1_Somewhat badly,0.002197080413259641,0.002211707080384773,1.4721205216341633e-4
WCRex1_Very well,0.002199212440945381,0.0021787909599249086,1.7049963689648646e-4
PHQ4_4_Several days,0.0021077688792079993,0.0021177769890735098,1.490026264143311e-4
PHQ4_3_Nearly every day,0.0020600100993895033,0.0020529960748470986,1.388135211777835e-4
PHQ4_3_Several days,0.0020415442431109755,0.0020417879566774462,1.380253000396793e-4
employment_status_Full time student,0.0016790852272149136,0.00169955725975653,1.5887170085661178e-4
employment_status_Part time employment,0.0016471854624110578,0.0016542488881285894,9.526548835303508e-5
PHQ4_2_Nearly every day,0.0016067317368534386,0.0016233606131016275,1.1122889212549132e-4
employment_status_Unemployed,0.0016009442302961669,0.0015883502538950982,1.2006519729280645e-4
PHQ4_1_Nearly every day,0.0015319722832310822,0.0015394900495763618,1.1130157749975692e-4
i11_health_Not sure,0.001261776693296902,0.0012500973907929066,2.2231588247467577e-4
WCRex2_Don't know,0.0012175817969440452,0.0011879674522774126,1.2915624173428597e-4
d1_comorbidities_Prefer_not_to_say,0.0010676413048676975,0.001064351777859419,9.821670803552509e-5
PHQ4_3_Prefer not to say,0.0010202915468635048,0.0010325239734810452,1.9513217304118437e-4
PHQ4_1_Prefer not to say,0.0010240590371267918,0.0010161663744244149,1.513145143985455e-4
employment_status_Other,9.933882110363446e-4,9.88042625020875e-4,1.1066828957694183e-4
PHQ4_4_Prefer not to say,7.968875090026756e-4,7.92093652074679e-4,1.2732646204174415e-4
PHQ4_2_Prefer not to say,7.721928109587917e-4,7.686498149176151e-4,1.326277465928827e-4
