number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
0,0.05,0.5,3,0.6,0.839651623453732,0.0018086510415504984
1,0.1,0.5,3,0.6,0.8388515452045049,0.0022813372472288377
2,0.2,0.5,3,0.6,0.8318663613070971,0.0030573307179398842
3,0.3,0.5,3,0.6,0.8235169074940718,0.003382200923817665
4,0.5,0.5,3,0.6,0.8087536298295701,0.0029771556556673936
5,0.05,0.7,3,0.6,0.8395643300094161,0.001824015843429683
6,0.1,0.7,3,0.6,0.8390110583978403,0.0020477994204711903
7,0.2,0.7,3,0.6,0.8309654902819886,0.002919073835994244
8,0.3,0.7,3,0.6,0.8237249914833621,0.0045532677932508935
9,0.5,0.7,3,0.6,0.8077390026506256,0.005628317771045586
10,0.05,0.85,3,0.6,0.8403762997293769,0.0021784970730631503
11,0.1,0.85,3,0.6,0.8388107122388022,0.0023757024991875163
12,0.2,0.85,3,0.6,0.8313092375289457,0.003616798805304916
13,0.3,0.85,3,0.6,0.8247053176312324,0.004485930783451647
14,0.5,0.85,3,0.6,0.812579032221866,0.004596997005501535
15,0.05,1,3,0.6,0.8396205046472203,0.0019044755690428973
16,0.1,1,3,0.6,0.838782775656853,0.002447442632623056
17,0.2,1,3,0.6,0.8329329759862635,0.0029592195928278306
18,0.3,1,3,0.6,0.8242269790338297,0.0031229654894357043
19,0.5,1,3,0.6,0.80899062181672865,0.0041030603062271334
20,0.05,0.5,5,0.6,0.8396161500241347,0.0023695381500222646
21,0.1,0.5,5,0.6,0.8299146527372323,0.0025043725852316985
22,0.2,0.5,5,0.6,0.8148449100988064,0.00242700008749093
23,0.3,0.5,5,0.6,0.8029084192617708,0.004547261323557809
24,0.5,0.5,5,0.6,0.78090705458989,0.0032105665063022278
25,0.05,0.7,5,0.6,0.8384587582021837,0.0026378905869668652
26,0.1,0.7,5,0.6,0.8300640163090683,0.0029815613278822667
27,0.2,0.7,5,0.6,0.8165315226140601,0.0036172742160247066
28,0.3,0.7,5,0.6,0.8004503685183529,0.003242796561661617
29,0.5,0.7,5,0.6,0.7807071103960597,0.0046664747492308105
30,0.05,0.85,5,0.6,0.8368601425703598,0.002441180533318031
31,0.1,0.85,5,0.6,0.8288839469499717,0.0034842849060049783
32,0.2,0.85,5,0.6,0.8112925760710782,0.0029524705816721735
33,0.3,0.85,5,0.6,0.7996666033571465,0.0019069535749262853
34,0.5,0.85,5,0.6,0.7862022092677768,0.0035898075714494372
35,0.05,1,5,0.6,0.8365882801014158,0.0026661557031919976
36,0.1,1,5,0.6,0.8274045140022905,0.0029094203030258863
37,0.2,1,5,0.6,0.8102206688500077,0.004094570657184859
38,0.3,1,5,0.6,0.7974841332608457,0.004393385991094071
39,0.5,1,5,0.6,0.7801037941161003,0.006039481390772573
40,0.05,0.5,7,0.6,0.8321077749115425,0.0017821230970233887
41,0.1,0.5,7,0.6,0.8197417842498642,0.0032002055742969843
42,0.2,0.5,7,0.6,0.8068813428853666,0.003320954358336678
43,0.3,0.5,7,0.6,0.8016316437730732,0.00394508502615451
44,0.5,0.5,7,0.6,0.791713587730414,0.0037651901714051573
45,0.05,0.7,7,0.6,0.8316266225576845,0.0025806977165248185
46,0.1,0.7,7,0.6,0.8194334769354038,0.0030250295187441334
47,0.2,0.7,7,0.6,0.8099010060184241,0.0013123898268541702
48,0.3,0.7,7,0.6,0.8016911681209433,0.004344100950139366
49,0.5,0.7,7,0.6,0.7919118570692114,0.0028174592207164738
50,0.05,0.85,7,0.6,0.8290408473694559,0.002539423065388949
51,0.1,0.85,7,0.6,0.8152802719160643,0.0027736795259968106
52,0.2,0.85,7,0.6,0.8053348152450664,0.0033435427622870114
53,0.3,0.85,7,0.6,0.8037929102046573,0.002985046642382947
54,0.5,0.85,7,0.6,0.7964867570887402,0.0023417224840449244
55,0.05,1,7,0.6,0.8288475690986566,0.0030202415992619074
56,0.1,1,7,0.6,0.8142899636321979,0.003232784125836161
57,0.2,1,7,0.6,0.8036084751684318,0.0026795506248523246
58,0.3,1,7,0.6,0.7965965270875979,0.0021965481590435665
59,0.5,1,7,0.6,0.7939170605088276,0.003103498924835101
60,0.05,0.5,9,0.6,0.8292181140261404,0.0035556016327539953
61,0.1,0.5,9,0.6,0.8240773474851885,0.00243634691342076
62,0.2,0.5,9,0.6,0.8153670629038704,0.0035908033733947227
63,0.3,0.5,9,0.6,0.8019304379109466,0.004308166856791527
64,0.5,0.5,9,0.6,0.7977161676771067,0.003779798776408063
65,0.05,0.7,9,0.6,0.8274057198979142,0.0027149407726427617
66,0.1,0.7,9,0.6,0.8202124520112162,0.0023322085087143173
67,0.2,0.7,9,0.6,0.8163997115229691,0.002757392909144335
68,0.3,0.7,9,0.6,0.8092568902698627,0.00251868396722666
69,0.5,0.7,9,0.6,0.8037909338757184,0.004775295192529695
70,0.05,0.85,9,0.6,0.8232089016535173,0.002776446378517906
71,0.1,0.85,9,0.6,0.8185807747410423,0.003410490089658787
72,0.2,0.85,9,0.6,0.813046651747058,0.003029327706321995
73,0.3,0.85,9,0.6,0.8080988285058986,0.0036992668778840975
74,0.5,0.85,9,0.6,0.8002120031500674,0.004649445783136506
75,0.05,1,9,0.6,0.823138222771128,0.0026867793628306802
76,0.1,1,9,0.6,0.8121387463308113,0.0033287542616631405
77,0.2,1,9,0.6,0.8116557516364171,0.002585853687432117
78,0.3,1,9,0.6,0.8048475999159893,0.00195317854806302
79,0.5,1,9,0.6,0.8044384663285469,0.0029042993246003977
80,0.05,0.5,3,0.75,0.8399055984709244,0.001921081202777365
81,0.1,0.5,3,0.75,0.8393262326179357,0.0019958499874535144
82,0.2,0.5,3,0.75,0.8305624196697655,0.0029114917075659815
83,0.3,0.5,3,0.75,0.823772858840203,0.004030103232887642
84,0.5,0.5,3,0.75,0.804686579353124,0.004353535110214068
85,0.05,0.7,3,0.75,0.839319935163012,0.0017863056770466375
86,0.1,0.7,3,0.75,0.8384275724014708,0.002630563476441775
87,0.2,0.7,3,0.75,0.8296668411865611,0.0032969900499232267
88,0.3,0.7,3,0.75,0.824528720916561,0.003209581979417786
89,0.5,0.7,3,0.75,0.8100602512349544,0.0034278055488057594
90,0.05,0.85,3,0.75,0.83973292091703,0.001986444312553565
91,0.1,0.85,3,0.75,0.8389135818349243,0.002140729506872171
92,0.2,0.85,3,0.75,0.831725539495929,0.0034752111204377593
93,0.3,0.85,3,0.75,0.8253291676338954,0.004005437813089443
94,0.5,0.85,3,0.75,0.8092048692725401,0.004475320879152459
95,0.05,1,3,0.75,0.8390408373203257,0.0018505159109741323
96,0.1,1,3,0.75,0.837809584391423,0.0027456123163969236
97,0.2,1,3,0.75,0.8319506065152531,0.0035288822504513625
98,0.3,1,3,0.75,0.8254166285637147,0.005099464896273533
99,0.5,1,3,0.75,0.8090313542911294,0.005790426467598785
100,0.05,0.5,5,0.75,0.8397441759428512,0.002326805423865993
101,0.1,0.5,5,0.75,0.8294608340175116,0.0034143771460101975
102,0.2,0.5,5,0.75,0.8125590679498736,0.004085152104924427
103,0.3,0.5,5,0.75,0.802259044468406,0.0041030963973513685
104,0.5,0.5,5,0.75,0.7845181090350725,0.002448817575276727
105,0.05,0.7,5,0.75,0.8374924003452882,0.0025192393036377945
106,0.1,0.7,5,0.75,0.8291342372860917,0.003167827300765405
107,0.2,0.7,5,0.75,0.8108193960271769,0.003768157755549575
108,0.3,0.7,5,0.75,0.799213153105533,0.0034103291506694315
109,0.5,0.7,5,0.75,0.7823951297895411,0.0031339858326537044
110,0.05,0.85,5,0.75,0.8361625319520469,0.0027341669891642177
111,0.1,0.85,5,0.75,0.8254795026216506,0.002490786512776907
112,0.2,0.85,5,0.75,0.8084340674892885,0.005050149559979725
113,0.3,0.85,5,0.75,0.7984062749448722,0.002982530525956941
114,0.5,0.85,5,0.75,0.7826609627803666,0.0038945200708263373
115,0.05,1,5,0.75,0.835686169683583,0.0030091579583744485
