feature,mean_importance,median_importance,sd_importance
r1_1,0.17165421589055285,0.17093629073889222,0.0066670687811698015
i11_health_Very willing,0.1639399046305306,0.16484245805263747,0.011269549205334139
i9_health_Yes,0.15829939851900163,0.15806578969257545,0.01097905698327302
week_number,0.14982962069781502,0.1503259530315162,0.005333293592879253
i2_health,0.12342198406699083,0.12423937034015708,0.004474519045429879
age,0.049007623691203615,0.04893734857626468,0.0022275714498393995
gender_Male,0.02471279001463161,0.0247411264589008,0.0015155874635637179
household_size,0.023897909916122274,0.024164994753480495,0.001802702919097388
WCRex1_Very badly,0.012632256951732248,0.012466314218543549,0.001990121704146108
region_South,0.009405263807600813,0.009450157189589706,9.170193014306224e-4
cantril_ladder,0.009444346191572698,0.009410387857582142,0.0012548657192636866
WCRex2_No confidence at all,0.008631285598795778,0.008539123139347302,0.0016860428426429032
WCRex1_Somewhat well,0.007156626373216119,0.007213636906292713,0.0010901993979362367
r1_2,0.007043674951444355,0.006925700272037497,9.407190440807253e-4
region_Islands,0.0063973654515695165,0.0063388405973187015,7.035806304018037e-4
i11_health_Very unwilling,0.00590445534247152,0.005598427421144036,0.0014765958331028836
i11_health_Somewhat willing,0.005103703181305967,0.005074699300332311,7.95515327165751e-4
vaccination_status_1,0.005027037344483518,0.004980307441568034,9.77958762017682e-4
PHQ4_2_Not at all,0.004329813466786106,0.0043740971431751215,8.271487706979864e-4
vaccination_status_2,0.00477779232981958,0.00435634422988749,0.0021726131433124725
PHQ4_4_Nearly every day,0.004319479298051156,0.004350536264197963,5.780772701689741e-4
PHQ4_1_Several days,0.0038940595868045018,0.0037827975158047232,6.443985134620985e-4
region_North east,0.002946949453140203,0.0028970624168820572,6.712909785986905e-4
PHQ4_1_Not at all,0.002712206627807501,0.0026971890276652746,5.806859056839772e-4
d1_comorbidities_Yes,0.0026726983817241643,0.002596778104242584,5.513669735078108e-4
employment_status_Not working,0.002585542152065287,0.0025860769503275325,5.541408682963809e-4
PHQ4_2_Several days,0.002406410948407741,0.0023984320363473377,5.350284926931871e-4
i9_health_Not sure,0.0033156420465267045,0.0023519080522734475,0.00251675709750442
PHQ4_3_Prefer not to say,0.0021977087274102558,0.002159713746021587,6.026537827144141e-4
vl_num,0.001970388634303048,0.0019872690224204998,5.30729852898051e-4
region_North west,0.0017505503453384215,0.0017080155043736824,4.958750910194556e-4
PHQ4_3_Not at all,0.0015249792188830862,0.0014604455919656287,5.327917152585873e-4
PHQ4_4_Several days,0.0011869006749384878,0.001156303776809023,4.059735330637498e-4
WCRex2_Not very much confidence,0.001153851005988916,0.00110538521248019,4.1161640048756435e-4
employment_status_Retired,0.0011209933016315425,0.0010709244849198536,4.846277639843234e-4
PHQ4_3_Nearly every day,0.001063902999150193,0.001038167650518743,4.28564495393133e-4
WCRex2_A lot of confidence,9.86152867786466e-4,0.0010143851750631827,3.794629254630365e-4
PHQ4_3_Several days,0.0010225777473890762,0.0010050170507596677,3.9401904538270433e-4
hl_covid_num,8.698169036718618e-4,8.533291382659357e-4,3.3410242861291764e-4
WCRex1_Very well,8.80764415496168e-4,7.789240551512222e-4,4.131095005909974e-4
PHQ4_4_Not at all,8.021681975681942e-4,7.702062579584134e-4,3.90399299140393e-4
PHQ4_2_Nearly every day,7.49175307742912e-4,6.99634312870134e-4,3.764112684674145e-4
PHQ4_2_Prefer not to say,7.751910372028534e-4,6.788311209416073e-4,4.3961673661578447e-4
PHQ4_1_Nearly every day,6.506990282686207e-4,6.207763373360282e-4,2.938098451976391e-4
employment_status_Other,6.220774024691964e-4,5.931841564586441e-4,2.782197426139768e-4
PHQ4_1_Prefer not to say,6.017416392682034e-4,5.757595351612379e-4,3.322830207055869e-4
employment_status_Full time student,5.621046785722687e-4,5.497931433363613e-4,3.590364104175367e-4
employment_status_Unemployed,6.0554120924335e-4,5.383732235795457e-4,3.323088050843585e-4
employment_status_Part time employment,5.493006370667837e-4,5.200259262603802e-4,2.5250285410524393e-4
WCRex1_Somewhat badly,4.8017438971554417e-4,4.3939227782143354e-4,2.475280423814544e-4
WCRex2_Don't know,4.8382825325831076e-4,4.2909571839297325e-4,2.678769063564947e-4
vaccination_status_3,7.781298738363712e-4,3.675408772032188e-4,0.0010751864272804633
i11_health_Somewhat unwilling,4.3525405626533434e-4,3.004162153699562e-4,4.8340477734693226e-4
d1_comorbidities_Prefer_not_to_say,3.4347730549417414e-4,2.9840230284220186e-4,2.5934870858767883e-4
i11_health_Not sure,1.648325356246287e-4,1.4773617979213285e-4,1.3831064892315365e-4
PHQ4_4_Prefer not to say,1.9766069424183443e-4,1.2240041606638143e-4,2.0514622703226486e-4
