number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,min_samples_split,value,std_err
0,0,0,3,2,0.7754925191656128,0.0013764495417933162
1,0.001,0,3,2,0.7754925191656128,0.0013764495417933162
2,0.005,0,3,2,0.7754925191656128,0.0013764495417933162
3,0.01,0,3,2,0.7754925191656128,0.0013764495417933162
4,0.02,0,3,2,0.7726548472215716,0.0023820795562714157
5,0.05,0,3,2,0.7096584149140475,0.0016178934983648063
6,0.1,0,3,2,0.7096584149140475,0.0016178934983648063
7,0,0.01,3,2,0.7754925191656128,0.0013764495417933162
8,0.001,0.01,3,2,0.7754925191656128,0.0013764495417933162
9,0.005,0.01,3,2,0.7754925191656128,0.0013764495417933162
10,0.01,0.01,3,2,0.7754925191656128,0.0013764495417933162
11,0.02,0.01,3,2,0.7726548472215716,0.0023820795562714157
12,0.05,0.01,3,2,0.7096584149140475,0.0016178934983648063
13,0.1,0.01,3,2,0.7096584149140475,0.0016178934983648063
14,0,0.05,3,2,0.7748513786750355,0.001501228888388237
15,0.001,0.05,3,2,0.7748513786750355,0.001501228888388237
16,0.005,0.05,3,2,0.7748513786750355,0.001501228888388237
17,0.01,0.05,3,2,0.7748513786750355,0.001501228888388237
18,0.02,0.05,3,2,0.7748513786750355,0.001501228888388237
19,0.05,0.05,3,2,0.7096584149140475,0.0016178934983648063
20,0.1,0.05,3,2,0.7096584149140475,0.0016178934983648063
21,0,0.1,3,2,0.7698045478320609,0.0017262719023831553
22,0.001,0.1,3,2,0.7698045478320609,0.0017262719023831553
23,0.005,0.1,3,2,0.7698045478320609,0.0017262719023831553
24,0.01,0.1,3,2,0.7698045478320609,0.0017262719023831553
25,0.02,0.1,3,2,0.7698045478320609,0.0017262719023831553
26,0.05,0.1,3,2,0.7096584149140475,0.0016178934983648063
27,0.1,0.1,3,2,0.7096584149140475,0.0016178934983648063
28,0,0.2,3,2,0.7096584149140475,0.0016178934983648063
29,0.001,0.2,3,2,0.7096584149140475,0.0016178934983648063
30,0.005,0.2,3,2,0.7096584149140475,0.0016178934983648063
31,0.01,0.2,3,2,0.7096584149140475,0.0016178934983648063
32,0.02,0.2,3,2,0.7096584149140475,0.0016178934983648063
33,0.05,0.2,3,2,0.7096584149140475,0.0016178934983648063
34,0.1,0.2,3,2,0.7096584149140475,0.0016178934983648063
35,0,0,5,2,0.8615505800427811,0.0031028270152479785
36,0.001,0,5,2,0.8586474776336128,0.003165705502361674
37,0.005,0,5,2,0.8430291914531516,0.002731299728219324
38,0.01,0,5,2,0.785135749918029,0.003256034617293838
39,0.02,0,5,2,0.781184725670211,0.0014119544896617168
40,0.05,0,5,2,0.7096584149140475,0.0016178934983648063
41,0.1,0,5,2,0.7096584149140475,0.0016178934983648063
42,0,0.01,5,2,0.8536452429465861,0.0032680675024500372
43,0.001,0.01,5,2,0.8536448135744064,0.0032678444708076925
44,0.005,0.01,5,2,0.8345968097647041,0.008494914936567786
45,0.01,0.01,5,2,0.785135749918029,0.003256034617293838
46,0.02,0.01,5,2,0.781184725670211,0.0014119544896617168
47,0.05,0.01,5,2,0.7096584149140475,0.0016178934983648063
48,0.1,0.01,5,2,0.7096584149140475,0.0016178934983648063
49,0,0.05,5,2,0.8119041680328509,9.889846017561337e-4
50,0.001,0.05,5,2,0.8115039638858963,8.627809184130266e-4
51,0.005,0.05,5,2,0.8098871043920871,0.0010345526234371365
52,0.01,0.05,5,2,0.7752021855043952,0.0015463837738634724
53,0.02,0.05,5,2,0.7748513786750355,0.001501228888388237
54,0.05,0.05,5,2,0.7096584149140475,0.0016178934983648063
55,0.1,0.05,5,2,0.7096584149140475,0.0016178934983648063
56,0,0.1,5,2,0.7698045478320609,0.0017262719023831553
57,0.001,0.1,5,2,0.7698045478320609,0.0017262719023831553
58,0.005,0.1,5,2,0.7698045478320609,0.0017262719023831553
59,0.01,0.1,5,2,0.7698045478320609,0.0017262719023831553
60,0.02,0.1,5,2,0.7698045478320609,0.0017262719023831553
61,0.05,0.1,5,2,0.7096584149140475,0.0016178934983648063
62,0.1,0.1,5,2,0.7096584149140475,0.0016178934983648063
63,0,0.2,5,2,0.7096584149140475,0.0016178934983648063
64,0.001,0.2,5,2,0.7096584149140475,0.0016178934983648063
65,0.005,0.2,5,2,0.7096584149140475,0.0016178934983648063
