number,max_depth,min_samples_leaf,max_features,min_samples_split,value,std_err
0,4,1,sqrt,2,0.8695053437319469,0.001158970634456528
1,8,1,sqrt,2,0.8885158555435851,0.001370840421506485
2,16,1,sqrt,2,0.9038816611238621,0.0015090795324122668
3,32,1,sqrt,2,0.9056347682170905,0.001521446012230135
4,4,5,sqrt,2,0.8701412341717801,0.0016056221808168313
5,8,5,sqrt,2,0.8885401150717442,0.0013452325124037484
6,16,5,sqrt,2,0.9018570932284103,0.0013645164620417001
7,32,5,sqrt,2,0.9034464143519603,0.0012671664042170588
8,4,20,sqrt,2,0.8694717941511703,0.0017051424324747231
9,8,20,sqrt,2,0.8873094953705872,0.0011312514230241626
10,16,20,sqrt,2,0.8965091846612644,0.0012879526801859971
11,32,20,sqrt,2,0.8966154933096008,0.0013767743428316835
12,4,50,sqrt,2,0.870359970022015,0.0014925704866632706
13,8,50,sqrt,2,0.8850565405093135,0.0011623097137137372
14,16,50,sqrt,2,0.8908601495776539,0.001305297105922847
15,32,50,sqrt,2,0.8911865114681407,0.0012396896038790863
16,4,100,sqrt,2,0.8686221934672974,0.0015906187331221997
17,8,100,sqrt,2,0.8824400245132481,0.0014542874206422566
18,16,100,sqrt,2,0.8858422135306884,0.0012308332841297097
19,32,100,sqrt,2,0.8862153769887738,0.00142493483770761
20,4,1,log2,2,0.8701479479913189,9.682739891559832e-4
21,8,1,log2,2,0.8854912993582837,0.0012994147609168233
22,16,1,log2,2,0.9005195403375647,0.0014545964816496514
23,32,1,log2,2,0.9023576436054772,0.0012564962478187197
24,4,5,log2,2,0.8685285025059721,0.0013490400087029387
25,8,5,log2,2,0.8851169453682453,0.0013231607025375749
26,16,5,log2,2,0.8978104946367511,0.0013245986990465613
27,32,5,log2,2,0.8988412025543742,0.0014764128275609567
28,4,20,log2,2,0.8695212012272238,0.002018997499732572
29,8,20,log2,2,0.8839452667572252,0.0014355492707449542
30,16,20,log2,2,0.8925969210111324,0.0012647144258962075
31,32,20,log2,2,0.8929108115914874,0.0012255552058461005
32,4,50,log2,2,0.8694047828157446,0.0015500681017933287
33,8,50,log2,2,0.8829838829297235,0.0011803725727108823
34,16,50,log2,2,0.8872867191281403,0.0012326947002473318
35,32,50,log2,2,0.8878290747419864,0.0011797400857710338
36,4,100,log2,2,0.8696212449451184,0.0011291587240274178
37,8,100,log2,2,0.8795518720627039,0.0010538924197033815
38,16,100,log2,2,0.8830701867378644,8.802174781443025e-4
39,32,100,log2,2,0.8826194240167377,0.001393558224809618
40,4,1,all,2,0.863932971099349,0.001081216901856564
41,8,1,all,2,0.900403931878152,0.0013521993978823062
42,16,1,all,2,0.9057378760909957,0.0010580876115646456
43,32,1,all,2,0.9051205169641044,0.0011431442431062788
44,4,5,all,2,0.8649804928411947,0.0023486234503271135
45,8,5,all,2,0.9002397750870454,0.0013195934226103941
46,16,5,all,2,0.9063909511764797,0.0011064437745304933
47,32,5,all,2,0.9061401783065561,0.0012020723960204213
48,4,20,all,2,0.8653039271940919,0.0014626873096850051
49,8,20,all,2,0.8969850266210752,0.0012214061036494384
50,16,20,all,2,0.9013894190984746,0.0010427295546307502
51,32,20,all,2,0.9019334043749122,0.0010401850744682546
52,4,50,all,2,0.863511405686449,0.0017143781689269012
53,8,50,all,2,0.8899991119802645,0.0013836138109047274
54,16,50,all,2,0.8938875161990413,0.0013696845493609917
55,32,50,all,2,0.8948742329851516,0.0011876592077881573
56,4,100,all,2,0.8613490581135729,0.0016432677970467549
57,8,100,all,2,0.8815851152278795,0.0013721269712362442
58,16,100,all,2,0.885084683904008,0.0013202930612544676
59,32,100,all,2,0.8853748321545115,0.0012437271707227884
