number,learning_rate,subsample,max_depth,colsample_bytree,value,std_err
0,0.05,0.5,3,0.6,0.8994167857198619,0.0011380951401590708
1,0.1,0.5,3,0.6,0.902678833512889,7.737529566677931e-4
2,0.2,0.5,3,0.6,0.904182563195778,0.0016460851838181613
3,0.3,0.5,3,0.6,0.9034660581291863,0.001233406996394138
4,0.5,0.5,3,0.6,0.8964267549612004,0.0013853489223768388
5,0.05,0.7,3,0.6,0.8992980545536872,0.0010232190938414868
6,0.1,0.7,3,0.6,0.9027568035973582,0.0010821600919142028
7,0.2,0.7,3,0.6,0.904948299686168,0.0010735215444747234
8,0.3,0.7,3,0.6,0.9046243481349634,9.672396948328986e-4
9,0.5,0.7,3,0.6,0.9015152641809921,0.0013659144383145365
10,0.05,0.85,3,0.6,0.8993073933985979,9.931236447222132e-4
11,0.1,0.85,3,0.6,0.9033609985635549,0.001049380338720277
12,0.2,0.85,3,0.6,0.9053267034365388,9.183977643985572e-4
13,0.3,0.85,3,0.6,0.9059534306837167,0.0013797271114899196
14,0.5,0.85,3,0.6,0.9036630716505066,0.0011471784978192658
15,0.05,1,3,0.6,0.8991388160257311,0.0010545242974689738
16,0.1,1,3,0.6,0.9032072540478087,9.680727646479973e-4
17,0.2,1,3,0.6,0.9057497814105266,0.0011378208642295435
18,0.3,1,3,0.6,0.9065004215654129,0.0013112693971182375
19,0.5,1,3,0.6,0.9058094641435196,0.0013166946887536546
20,0.05,0.5,5,0.6,0.9093466419192155,0.0011574000786954898
21,0.1,0.5,5,0.6,0.9093776055084547,0.001066919018536667
22,0.2,0.5,5,0.6,0.9053897528377598,0.0010050987107015675
23,0.3,0.5,5,0.6,0.8982728796821084,0.001283779637010746
24,0.5,0.5,5,0.6,0.8851049327056693,9.404274094832446e-4
25,0.05,0.7,5,0.6,0.9095781711087171,0.0013731010712238919
26,0.1,0.7,5,0.6,0.9105499769700376,0.0011721073536347958
27,0.2,0.7,5,0.6,0.9070391567911065,0.0015014674952047234
28,0.3,0.7,5,0.6,0.9034255702843225,0.001348423273278788
29,0.5,0.7,5,0.6,0.8923337646572049,0.0013534507399289135
30,0.05,0.85,5,0.6,0.9100282409792808,0.0011743421963564267
31,0.1,0.85,5,0.6,0.9108805447561947,0.0012309347914280355
32,0.2,0.85,5,0.6,0.9086845207425797,0.0013725252553752254
33,0.3,0.85,5,0.6,0.9054311482192765,0.0012492217655325787
34,0.5,0.85,5,0.6,0.8976683822036942,0.0013665490751840238
35,0.05,1,5,0.6,0.9099996974877824,0.0013404443873977336
36,0.1,1,5,0.6,0.910786941620997,0.0014826345838413388
37,0.2,1,5,0.6,0.9098788584945431,0.0010817062256903954
38,0.3,1,5,0.6,0.9072406982372321,0.0013785978993368926
39,0.5,1,5,0.6,0.9000023517885303,0.0017637903405670662
40,0.05,0.5,7,0.6,0.9121964045935017,0.0014007455180697745
41,0.1,0.5,7,0.6,0.9103008142457882,0.0011275448646679701
42,0.2,0.5,7,0.6,0.901657220478711,0.0017669530385007644
43,0.3,0.5,7,0.6,0.894806187253111,7.181917632334567e-4
44,0.5,0.5,7,0.6,0.880883638187581,7.496768304339752e-4
45,0.05,0.7,7,0.6,0.9138964744640654,0.0010735376801257706
46,0.1,0.7,7,0.6,0.911848886364701,0.001213902244566036
47,0.2,0.7,7,0.6,0.9061855356222774,5.984322706190941e-4
48,0.3,0.7,7,0.6,0.899456395303449,0.0016310281553589352
49,0.5,0.7,7,0.6,0.8919109696785174,9.748450059537079e-4
50,0.05,0.85,7,0.6,0.9139442226021516,0.0012656205024588224
51,0.1,0.85,7,0.6,0.9127623268849439,0.001306364656013567
52,0.2,0.85,7,0.6,0.906985641403969,0.0012495028940510342
53,0.3,0.85,7,0.6,0.9030112456477275,0.001334059327232351
54,0.5,0.85,7,0.6,0.8966668520773807,8.383467043933119e-4
55,0.05,1,7,0.6,0.9140434466095211,0.0013217234333050075
56,0.1,1,7,0.6,0.9133250093681203,0.0013560937843392431
57,0.2,1,7,0.6,0.9093245292519556,0.001247972988110577
58,0.3,1,7,0.6,0.9062070432651022,0.0013545937147495784
59,0.5,1,7,0.6,0.9000513978016145,0.0015637319986255257
60,0.05,0.5,9,0.6,0.9132597350383312,0.0014364936891576815
61,0.1,0.5,9,0.6,0.9093364345714866,0.0013662437267679176
62,0.2,0.5,9,0.6,0.901935980607991,7.886170849376272e-4
63,0.3,0.5,9,0.6,0.8964478137149281,0.0013934453371939942
64,0.5,0.5,9,0.6,0.8867005187596608,8.674282777116842e-4
65,0.05,0.7,9,0.6,0.9141178646150483,0.001319715395270749
66,0.1,0.7,9,0.6,0.9110509469608257,8.158082933844605e-4
67,0.2,0.7,9,0.6,0.9065624560869362,0.0010067299328419758
68,0.3,0.7,9,0.6,0.9020049046013084,0.001396665908134971
69,0.5,0.7,9,0.6,0.8940254324948865,0.0012409714749968583
70,0.05,0.85,9,0.6,0.9152585406029947,0.0010322345039148178
71,0.1,0.85,9,0.6,0.912088671210205,0.0011789367963237496
72,0.2,0.85,9,0.6,0.908579783206083,0.0010164299856478065
73,0.3,0.85,9,0.6,0.9057784907958218,9.276611451520566e-4
74,0.5,0.85,9,0.6,0.9004881766515215,0.0017743771775429523
75,0.05,1,9,0.6,0.9146990686527081,0.0014023140297531103
76,0.1,1,9,0.6,0.9125392875544522,0.0012419316424798605
77,0.2,1,9,0.6,0.9099881044389276,0.0010222944701328218
78,0.3,1,9,0.6,0.9072958530454198,0.0012792495356578567
79,0.5,1,9,0.6,0.9030810576607804,9.842314299364843e-4
80,0.05,0.5,3,0.75,0.8997086319421674,0.0010897363149469607
81,0.1,0.5,3,0.75,0.9027913485409153,0.0010196123031733014
82,0.2,0.5,3,0.75,0.903695196496323,0.0013161267662199147
83,0.3,0.5,3,0.75,0.9036685071119647,6.843445549004699e-4
84,0.5,0.5,3,0.75,0.8972177658594469,0.001323195634076954
85,0.05,0.7,3,0.75,0.8997220693397037,9.323890362940604e-4
86,0.1,0.7,3,0.75,0.9037266089746593,0.0010473504295938083
87,0.2,0.7,3,0.75,0.9049788241447687,0.0010194332084542054
88,0.3,0.7,3,0.75,0.9050613026371259,0.0011011716215520316
89,0.5,0.7,3,0.75,0.9014358303277281,0.0013311897925520496
90,0.05,0.85,3,0.75,0.899678419754243,9.897544776675195e-4
91,0.1,0.85,3,0.75,0.9039465451153059,0.0011898014260789493
92,0.2,0.85,3,0.75,0.9060033549580777,0.0013145203156105624
93,0.3,0.85,3,0.75,0.9056796668852561,0.0010852216337370363
94,0.5,0.85,3,0.75,0.9032702058644433,0.0012281829548620369
95,0.05,1,3,0.75,0.8989666377816291,0.0010730284871491337
96,0.1,1,3,0.75,0.9030676592970787,0.0011149933553422822
97,0.2,1,3,0.75,0.9059689466329415,0.0012290543632410777
98,0.3,1,3,0.75,0.9071245140287602,0.001011731578387936
99,0.5,1,3,0.75,0.9055059175293144,0.0011507783313282115
100,0.05,0.5,5,0.75,0.9091483793151904,0.001137248158173934
101,0.1,0.5,5,0.75,0.9097464752447422,0.0011550498442571577
102,0.2,0.5,5,0.75,0.9041203822973753,0.0010421567004413356
103,0.3,0.5,5,0.75,0.8991182842287695,0.0011072097210482453
104,0.5,0.5,5,0.75,0.8834715618998548,0.0019034291053202882
105,0.05,0.7,5,0.75,0.9101184872047091,0.0012540625921206817
106,0.1,0.7,5,0.75,0.9107650631567443,0.0012183296303387534
107,0.2,0.7,5,0.75,0.9073369654316361,0.0010701295242280008
108,0.3,0.7,5,0.75,0.9030871176635908,8.249497545076763e-4
109,0.5,0.7,5,0.75,0.8920787175824004,3.6580504323075825e-4
