number,min_impurity_decrease,value,std_err
0,0,0.6696368929905515,0.0019643183996763797
1,5e-4,0.77011590859151835,0.0032526496407293986
2,0.001,0.7966389255108767,0.005304443204896994
3,0.002,0.7904349776605875,0.003953037028129397
4,0.005,0.7639026221343295,0.003425395416119762
5,0.01,0.7543936314363143,0.0036199267942654137
6,0.02,0.7543936314363143,0.0036199267942654137
7,0.03,0.7517501647989453,0.0037382640934183883
8,0.05,0.6872866769208232,0.012301124563052235
9,0.075,0.6752373104812129,0.0021093099695065174
10,0.1,0.6752373104812129,0.0021093099695065174
11,0.15,0.6752373104812129,0.0021093099695065174
12,0.2,0.6752373104812129,0.0021093099695065174
