number,max_depth,min_samples_leaf,max_features,value,std_err
0,4,1,sqrt,0.8248518640591811,0.0022030437537620545
1,8,1,sqrt,0.8387852486632974,0.0030048690755204452
2,16,1,sqrt,0.8505128909397202,0.00418394176946899
3,32,1,sqrt,0.8525254522815499,0.004694654824371182
4,4,5,sqrt,0.824843807221856,0.002193137764404862
5,8,5,sqrt,0.8383529260968285,0.0029500622552516894
6,16,5,sqrt,0.8492519958983374,0.003953822547022046
7,32,5,sqrt,0.8498917820259283,0.004114423406128401
8,4,20,sqrt,0.8246643594814327,0.0021870952423546446
9,8,20,sqrt,0.8372991283966894,0.002714567216773152
10,16,20,sqrt,0.843353292316707,0.003141946710475306
11,32,20,sqrt,0.8435199223613857,0.0031384925717610375
12,4,50,sqrt,0.824349593495935,0.0021081924434288076
13,8,50,sqrt,0.8348110305427379,0.002548108251075173
14,16,50,sqrt,0.8384322127005054,0.00285773403376965
15,32,50,sqrt,0.8384783564051856,0.002862853521068134
16,4,100,sqrt,0.8238171097927195,0.0019921508088649475
17,8,100,sqrt,0.8321295685929833,0.0025285248226473256
18,16,100,sqrt,0.8340665055299202,0.002717656582713552
19,32,100,sqrt,0.8340762103566982,0.0027156828928526686
20,4,1,log2,0.8226923569911375,0.0021779027391389313
21,8,1,log2,0.836821394565297,0.002800374187472705
22,16,1,log2,0.8485310920676774,0.00415596068216715
23,32,1,log2,0.8507300593276202,0.0044774021086262114
24,4,5,log2,0.8226641580604995,0.002176838582264465
25,8,5,log2,0.8365139529773675,0.00235362417284219
26,16,5,log2,0.8464414414414414,0.003552953445394109
27,32,5,log2,0.8473851900681169,0.0037301521400654684
28,4,20,log2,0.8225605178349081,0.0021952232546696717
29,8,20,log2,0.8349987182304256,0.002577971369727699
30,16,20,log2,0.84079945799458,0.0031339027564739577
31,32,20,log2,0.8409783564051857,0.003168212125043459
32,4,50,log2,0.8221274628286823,0.0021702029201441327
33,8,50,log2,0.8324741814985718,0.0024059812422175266
34,16,50,log2,0.8356732952464659,0.0025456009243735368
35,32,50,log2,0.8357143118728485,0.0025355303202801204
36,4,100,log2,0.8217033802094778,0.0022608722727235756
37,8,100,log2,0.8300472423643156,0.0026843571631084847
38,16,100,log2,0.8317604189555409,0.0027915040417302974
39,32,100,log2,0.8317510803486413,0.0027901315234011605
40,4,1,all,0.8141722515198125,0.003382291371227635
41,8,1,all,0.8355911704387314,0.0037943777445556834
42,16,1,all,0.840211858199663,0.004386821878869489
43,32,1,all,0.8401622354061379,0.004787858168565041
44,4,5,all,0.8141650186772138,0.0034006908529545412
45,8,5,all,0.8362269281476599,0.003911012877754741
46,16,5,all,0.8415264960082033,0.004769562776799567
47,32,5,all,0.8414588368856661,0.005036402695168446
48,4,20,all,0.8142426572914377,0.003329472440641752
49,8,20,all,0.8336902146048488,0.003933039742139744
50,16,20,all,0.8367022815498425,0.004156298947121812
51,32,20,all,0.836955614150736,0.00421825015580675
52,4,50,all,0.8149490038819307,0.002830239218874966
53,8,50,all,0.8286671427525086,0.0035030633519225174
54,16,50,all,0.8314753167801948,0.003669982864865109
55,32,50,all,0.8315399545887351,0.0037132526075654847
56,4,100,all,0.8112749945067018,0.0031484127067026983
57,8,100,all,0.8224143961034205,0.003350861148524651
58,16,100,all,0.824243755951073,0.0036916885877379684
59,32,100,all,0.8241396579506336,0.003592601373576112
