number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,value,std_err
0,0,0,3,0.786806577747811,0.0029208387823376125
1,0.001,0,3,0.786806577747811,0.0029208387823376125
2,0.005,0,3,0.786806577747811,0.0029208387823376125
3,0.01,0,3,0.780026020398473,0.004602280429068996
4,0.02,0,3,0.7707659279975689,0.0025309863785783655
5,0.05,0,3,0.7047583675998557,0.01091419798941531
6,0.1,0,3,0.6889032853127196,0.00171594293300222
7,0,0.01,3,0.786806577747811,0.0029208387823376125
8,0.001,0.01,3,0.786806577747811,0.0029208387823376125
9,0.005,0.01,3,0.786806577747811,0.0029208387823376125
10,0.01,0.01,3,0.780026020398473,0.004602280429068996
11,0.02,0.01,3,0.7707659279975689,0.0025309863785783655
12,0.05,0.01,3,0.7047583675998557,0.01091419798941531
13,0.1,0.01,3,0.6889032853127196,0.00171594293300222
14,0,0.05,3,0.7852954181781923,0.0028347566456119206
15,0.001,0.05,3,0.7852954181781923,0.0028347566456119206
16,0.005,0.05,3,0.7852954181781923,0.0028347566456119206
17,0.01,0.05,3,0.7735582538793185,0.0035787165792445716
18,0.02,0.05,3,0.7707659279975689,0.0025309863785783655
19,0.05,0.05,3,0.7047583675998557,0.01091419798941531
20,0.1,0.05,3,0.6889032853127196,0.00171594293300222
21,0,0.1,3,0.731259911967484,0.0014610769309398265
22,0.001,0.1,3,0.731259911967484,0.0014610769309398265
23,0.005,0.1,3,0.731259911967484,0.0014610769309398265
24,0.01,0.1,3,0.731259911967484,0.0014610769309398265
25,0.02,0.1,3,0.731259911967484,0.0014610769309398265
26,0.05,0.1,3,0.7047583675998557,0.01091419798941531
27,0.1,0.1,3,0.6889032853127196,0.00171594293300222
28,0,0.2,3,0.6972177641450304,0.00772849427412621
29,0.001,0.2,3,0.6889032853127196,0.00171594293300222
30,0.005,0.2,3,0.6889032853127196,0.00171594293300222
31,0.01,0.2,3,0.6889032853127196,0.00171594293300222
32,0.02,0.2,3,0.6889032853127196,0.00171594293300222
33,0.05,0.2,3,0.6889032853127196,0.00171594293300222
34,0.1,0.2,3,0.6889032853127196,0.00171594293300222
35,0,0,5,0.833885188552924,0.00306633092723026
36,0.001,0,5,0.815587874636759,0.007039028497774227
37,0.005,0,5,0.7971060616132647,0.002189916887483612
38,0.01,0,5,0.77914510170747,0.003944895766662582
39,0.02,0,5,0.7707659279975689,0.0025309863785783655
40,0.05,0,5,0.7047583675998557,0.01091419798941531
41,0.1,0,5,0.6889032853127196,0.00171594293300222
42,0,0.01,5,0.8328049621564643,0.002771371067614693
43,0.001,0.01,5,0.8141276103492812,0.008503887854902529
44,0.005,0.01,5,0.8003929768665362,0.0030938375020218354
45,0.01,0.01,5,0.780026020398473,0.004602280429068996
46,0.02,0.01,5,0.7707659279975689,0.0025309863785783655
47,0.05,0.01,5,0.7047583675998557,0.01091419798941531
48,0.1,0.01,5,0.6889032853127196,0.00171594293300222
49,0,0.05,5,0.8116076261609466,0.0030863697614007023
50,0.001,0.05,5,0.7950765714326413,0.0070026731645418385
51,0.005,0.05,5,0.7852954181781923,0.0028347566456119206
52,0.01,0.05,5,0.7735582538793185,0.0035787165792445716
53,0.02,0.05,5,0.7707659279975689,0.0025309863785783655
54,0.05,0.05,5,0.7047583675998557,0.01091419798941531
55,0.1,0.05,5,0.6889032853127196,0.00171594293300222
56,0,0.1,5,0.7350571154868853,0.0035367693325477137
57,0.001,0.1,5,0.7350571154868853,0.0035367693325477137
58,0.005,0.1,5,0.731259911967484,0.0014610769309398265
59,0.01,0.1,5,0.731259911967484,0.0014610769309398265
60,0.02,0.1,5,0.731259911967484,0.0014610769309398265
61,0.05,0.1,5,0.7047583675998557,0.01091419798941531
62,0.1,0.1,5,0.6889032853127196,0.00171594293300222
63,0,0.2,5,0.6972177641450304,0.00772849427412621
64,0.001,0.2,5,0.6889032853127196,0.00171594293300222
65,0.005,0.2,5,0.6889032853127196,0.00171594293300222
66,0.01,0.2,5,0.6889032853127196,0.00171594293300222
67,0.02,0.2,5,0.6889032853127196,0.00171594293300222
68,0.05,0.2,5,0.6889032853127196,0.00171594293300222
69,0.1,0.2,5,0.6889032853127196,0.00171594293300222
