number,max_depth,max_features,min_samples_leaf,value,std_err
0,4,sqrt,1,0.8443170595050427,0.002905906875673282
1,8,sqrt,1,0.8646249893164422,0.0024164149452600954
2,16,sqrt,1,0.882191903999924,0.0021996928423054503
3,32,sqrt,1,0.88345585791343,0.002140534456470477
4,4,log2,1,0.8438418489202485,0.0032265573961678838
5,8,log2,1,0.860454662542022,0.0027058120145989216
6,16,log2,1,0.8773623423581698,0.0020355800179887892
7,32,log2,1,0.8791276815729996,0.0020080088932849516
8,4,all,1,0.8358740218609333,0.0024931681856413153
9,8,all,1,0.8787076396934531,0.0019076060433976952
10,16,all,1,0.8819567470228485,0.0013684718514891331
11,32,all,1,0.8811839103245902,0.0011928559859152945
12,4,sqrt,5,0.8443066133596703,0.0029090243793232756
13,8,sqrt,5,0.8642973008584832,0.002378341271536046
14,16,sqrt,5,0.8799307289984996,0.0019185536262072537
15,32,sqrt,5,0.8810797456363602,0.0019181159189959602
16,4,log2,5,0.8438096201876507,0.003240308041542674
17,8,log2,5,0.8606792546675277,0.002580431651604897
18,16,log2,5,0.8752297855216425,0.0023428477067427107
19,32,log2,5,0.8764163726709844,0.002284817928139883
20,4,all,5,0.835830901834723,0.0024781007555987316
21,8,all,5,0.8788157810392965,0.0017680041895992208
22,16,all,5,0.8838631685533038,0.0015551193262809766
23,32,all,5,0.8835994627357505,0.001653974554689499
24,4,sqrt,20,0.8442150315283661,0.0029239888835074454
25,8,sqrt,20,0.862749906222104,0.002608547873803606
26,16,sqrt,20,0.8737161034453287,0.0021756998386361632
27,32,sqrt,20,0.8740412397200433,0.002160259309663384
28,4,log2,20,0.8437477742587985,0.003272225367531958
29,8,log2,20,0.8590176053161384,0.0025440084530917897
30,16,log2,20,0.8686855128582553,0.002231695877796854
31,32,log2,20,0.8690508311807943,0.0022122994195147914
32,4,all,20,0.8353250650509961,0.002307438272890382
33,8,all,20,0.8766152055516514,0.0013170881784231592
34,16,all,20,0.8811025965793622,0.0011937375023536047
35,32,all,20,0.8813867198628706,0.0013399121739875648
36,4,sqrt,50,0.8439408795654404,0.0030229199784980528
37,8,sqrt,50,0.8599293876184688,0.0029140972933049767
38,16,sqrt,50,0.866753213376764,0.0025782376179918905
39,32,sqrt,50,0.8668791606522194,0.002559209533842568
40,4,log2,50,0.8434021611650301,0.003248818793973863
41,8,log2,50,0.8568976906896355,0.002657564105780314
42,16,log2,50,0.8625560590017284,0.002511189000768122
43,32,log2,50,0.8625981403487113,0.0024910244546209985
44,4,all,50,0.8353218006305673,0.0024956214194299933
45,8,all,50,0.869370506970428,0.001575904870856081
46,16,all,50,0.873641377894057,0.0012587298642534257
47,32,all,50,0.8744787907637082,0.0014028527801421167
48,4,sqrt,100,0.8432461515450799,0.003002612804686998
49,8,sqrt,100,0.8569619107424361,0.0028451776601994072
50,16,sqrt,100,0.8612352151431122,0.002670027303419525
51,32,sqrt,100,0.8612571757896337,0.0026603734953025535
52,4,log2,100,0.8429058505536456,0.0031944440471407963
53,8,log2,100,0.8539037423315796,0.003026527574612923
54,16,log2,100,0.8575694490607966,0.0028733739727741033
55,32,log2,100,0.8575776397884181,0.002872400062276895
56,4,all,100,0.8344049733148469,0.0025971546886325437
57,8,all,100,0.8600317717137377,0.0021598749072032713
58,16,all,100,0.865162490978329,0.002044760280555879
59,32,all,100,0.8661968671060378,0.0021894290695408047
