number,learning_rate,subsample,max_depth,colsample_bytree,min_child_weight,value,std_err
0,0.05,0.5,3,0.6,1,0.8753857654650434,0.0021821260991473656
1,0.1,0.5,3,0.6,1,0.8787434889650718,0.001973183761183964
2,0.2,0.5,3,0.6,1,0.8787302829006096,0.0014364944509411275
3,0.4,0.5,3,0.6,1,0.8707938833070598,0.0016517379057695463
4,0.05,0.7,3,0.6,1,0.8754702546010522,0.0018770949908483304
5,0.1,0.7,3,0.6,1,0.8792927722170519,0.0018130806450462797
6,0.2,0.7,3,0.6,1,0.8795180172266434,0.0014432471953435646
7,0.4,0.7,3,0.6,1,0.8750305371692846,0.0020145830994776344
8,0.05,0.85,3,0.6,1,0.8754067764619855,0.0019782636379621485
9,0.1,0.85,3,0.6,1,0.8783510759529733,0.001984172323747964
10,0.2,0.85,3,0.6,1,0.8801511367305465,0.0014823690844260502
11,0.4,0.85,3,0.6,1,0.8774491165884788,0.0019813409935815545
12,0.05,1,3,0.6,1,0.8748506379271049,0.0022932091527467237
13,0.1,1,3,0.6,1,0.8779396699492887,0.002265783297957389
14,0.2,1,3,0.6,1,0.8794675374161934,0.0017370814259823173
15,0.4,1,3,0.6,1,0.8776742132153236,0.0012335112595386454
16,0.05,0.5,5,0.6,1,0.8876309626122961,0.0018250423849027148
17,0.1,0.5,5,0.6,1,0.8857941029135249,0.0019175370113728252
18,0.2,0.5,5,0.6,1,0.8789112208220167,0.0018063367190018558
19,0.4,0.5,5,0.6,1,0.8668650939678259,0.00161211649303322
20,0.05,0.7,5,0.6,1,0.8883341484492222,0.0015519021087638575
21,0.1,0.7,5,0.6,1,0.8870049951567872,0.001597563228333677
22,0.2,0.7,5,0.6,1,0.8815341529600578,0.0014340324140182275
23,0.4,0.7,5,0.6,1,0.8708762950846137,0.001765527410624694
24,0.05,0.85,5,0.6,1,0.8878635377295778,0.0013703614255168182
25,0.1,0.85,5,0.6,1,0.8870038377713624,0.0014045772570563202
26,0.2,0.85,5,0.6,1,0.8824513660709198,0.0011488460181842655
27,0.4,0.85,5,0.6,1,0.8709870182902509,0.0021888297327329292
28,0.05,1,5,0.6,1,0.8881299441131223,0.0013414035666263783
29,0.1,1,5,0.6,1,0.8872346619722322,0.0013186848283536614
30,0.2,1,5,0.6,1,0.883235272122087,0.0017833483633400648
31,0.4,1,5,0.6,1,0.8738991187251904,8.218853041804396e-4
32,0.05,0.5,7,0.6,1,0.8902772798712275,0.0011999674709583384
33,0.1,0.5,7,0.6,1,0.8866242747051338,0.0014643575192474006
34,0.2,0.5,7,0.6,1,0.8783360002659019,0.001531463389707134
35,0.4,0.5,7,0.6,1,0.8666367625971017,0.0010548428606951777
36,0.05,0.7,7,0.6,1,0.8913105876431596,0.0011414151213287687
37,0.1,0.7,7,0.6,1,0.8876838165466943,0.0011898250251580072
38,0.2,0.7,7,0.6,1,0.8798579620994853,0.0011014010479150388
39,0.4,0.7,7,0.6,1,0.8733856550682798,0.001524186853672327
40,0.05,0.85,7,0.6,1,0.8911488801257337,0.001157492707760812
41,0.1,0.85,7,0.6,1,0.8891861325046058,0.001293501649628538
42,0.2,0.85,7,0.6,1,0.8832355095344817,0.001406613397661271
43,0.4,0.85,7,0.6,1,0.8742962799851854,0.0013788150853264454
44,0.05,1,7,0.6,1,0.8907946905092021,0.001233944620466119
45,0.1,1,7,0.6,1,0.8885748252644774,0.0015396665647526434
46,0.2,1,7,0.6,1,0.882777897143454,0.0017370834539749069
47,0.4,1,7,0.6,1,0.877672402945813,0.0012400954688034287
48,0.05,0.5,9,0.6,1,0.8921675870353839,0.0010664397408076175
49,0.1,0.5,9,0.6,1,0.8877640025830469,0.0013198833219967723
50,0.2,0.5,9,0.6,1,0.8810317883326053,0.0018844407554146456
51,0.4,0.5,9,0.6,1,0.873214985232949,0.0028062930133403094
52,0.05,0.7,9,0.6,1,0.8923310157926725,8.499408881563369e-4
53,0.1,0.7,9,0.6,1,0.8886817498717973,0.0010787005601408295
54,0.2,0.7,9,0.6,1,0.8846284674080265,0.0017410441752297224
55,0.4,0.7,9,0.6,1,0.8785973913126056,0.0014843697653757681
56,0.05,0.85,9,0.6,1,0.8922835629902566,7.982371090042902e-4
57,0.1,0.85,9,0.6,1,0.889783818208581,8.396682685224079e-4
58,0.2,0.85,9,0.6,1,0.8856444440751362,0.0010324554663487635
59,0.4,0.85,9,0.6,1,0.8795508098136787,0.0015319784789187094
60,0.05,1,9,0.6,1,0.891081544035251,8.1107995042969e-4
61,0.1,1,9,0.6,1,0.8891248801067406,7.997444884974192e-4
62,0.2,1,9,0.6,1,0.8854846061803194,0.0011968880530154053
63,0.4,1,9,0.6,1,0.8810461221059429,0.0014550151797875334
64,0.05,0.5,3,0.75,1,0.8759148983400126,0.0022383344448365177
65,0.1,0.5,3,0.75,1,0.878714524652903,0.0018896891526655217
66,0.2,0.5,3,0.75,1,0.8799094805891626,0.0018795170035629336
67,0.4,0.5,3,0.75,1,0.8723981085354504,0.0014859514428194813
68,0.05,0.7,3,0.75,1,0.8757182318474483,0.0022478783784499203
69,0.1,0.7,3,0.75,1,0.8792980843193862,0.0019747743650668495
70,0.2,0.7,3,0.75,1,0.8801186112324553,0.0022297811720867963
71,0.4,0.7,3,0.75,1,0.8752266991605098,0.0012970970955071598
72,0.05,0.85,3,0.75,1,0.8745861605192684,0.0022406864988497232
73,0.1,0.85,3,0.75,1,0.879048593568973,0.0019141816884473604
74,0.2,0.85,3,0.75,1,0.8795292052857495,0.0015823159910903092
75,0.4,0.85,3,0.75,1,0.8765051055535508,0.0019003265857648463
76,0.05,1,3,0.75,1,0.8734050041784581,0.0022256609236969253
77,0.1,1,3,0.75,1,0.8771540129817097,0.0021153130830716856
78,0.2,1,3,0.75,1,0.8794988164992118,0.0016096592937343416
79,0.4,1,3,0.75,1,0.8789200050806253,0.0016738089683607854
80,0.05,0.5,5,0.75,1,0.8872138883876849,0.001678915070118856
81,0.1,0.5,5,0.75,1,0.8862576209378739,0.001535852478431437
82,0.2,0.5,5,0.75,1,0.8784940872443069,0.0013819155938089925
83,0.4,0.5,5,0.75,1,0.8667764204383582,0.0021523592498745745
84,0.05,0.7,5,0.75,1,0.8871036993599362,0.0015414623666063871
85,0.1,0.7,5,0.75,1,0.886357334143701,0.00144960114563676
86,0.2,0.7,5,0.75,1,0.8807655896849063,0.0019056112046118533
87,0.4,0.7,5,0.75,1,0.8695286236253822,0.0015041375354014122
88,0.05,0.85,5,0.75,1,0.8873578790051471,0.0016958175625008752
89,0.1,0.85,5,0.75,1,0.8862803828512279,0.0014475738898258816
90,0.2,0.85,5,0.75,1,0.8832861674042278,8.839621918053265e-4
91,0.4,0.85,5,0.75,1,0.873210533750546,0.001340150211472839
92,0.05,1,5,0.75,1,0.886001838758998,0.0014868893522835586
93,0.1,1,5,0.75,1,0.8860865356308522,0.0019281676393964377
94,0.2,1,5,0.75,1,0.8831373098326717,8.690934270416648e-4
95,0.4,1,5,0.75,1,0.873557037140795,8.693344847505469e-4
96,0.05,0.5,7,0.75,1,0.8906828692712389,0.0013632044225621279
97,0.1,0.5,7,0.75,1,0.8858525360392016,0.0013547948539457076
98,0.2,0.5,7,0.75,1,0.8795792696245085,0.0013783024241097977
99,0.4,0.5,7,0.75,1,0.8658754997530911,0.0027993678691718934
100,0.05,0.7,7,0.75,1,0.8906273741239483,0.0012331638669507788
101,0.1,0.7,7,0.75,1,0.8868467894721848,9.249199417681829e-4
