number,min_impurity_decrease,min_samples_leaf,min_weight_fraction_leaf,value,std_err
0,0,1,0,0.6548802158058346,0.002475735673201515
1,0.001,1,0,0.7458251989820318,0.007021334310730333
2,0.005,1,0,0.723463931304229,0.0029548167181198655
3,0.01,1,0,0.650582993868279,0.0026995120361692345
4,0.02,1,0,0.6473982458837193,0.0025035130111339247
5,0.05,1,0,0.6413930129978821,0.002403300387028155
6,0.1,1,0,0.5,0
7,0,2,0,0.673237087517934,0.004434717463601985
8,0.001,2,0,0.7458251989820318,0.007021334310730333
9,0.005,2,0,0.723463931304229,0.0029548167181198655
10,0.01,2,0,0.650582993868279,0.0026995120361692345
11,0.02,2,0,0.6473982458837193,0.0025035130111339247
12,0.05,2,0,0.6413930129978821,0.002403300387028155
13,0.1,2,0,0.5,0
14,0,5,0,0.7400253317790532,0.005097557024644029
15,0.001,5,0,0.7458251989820318,0.007021334310730333
16,0.005,5,0,0.723463931304229,0.0029548167181198655
17,0.01,5,0,0.650582993868279,0.0026995120361692345
18,0.02,5,0,0.6473982458837193,0.0025035130111339247
19,0.05,5,0,0.6413930129978821,0.002403300387028155
20,0.1,5,0,0.5,0
21,0,10,0,0.7743229486916718,0.0030823821478553025
22,0.001,10,0,0.7458251989820318,0.007021334310730333
23,0.005,10,0,0.723463931304229,0.0029548167181198655
24,0.01,10,0,0.650582993868279,0.0026995120361692345
25,0.02,10,0,0.6473982458837193,0.0025035130111339247
26,0.05,10,0,0.6413930129978821,0.002403300387028155
27,0.1,10,0,0.5,0
28,0,1,0.01,0.7376424258727882,0.004421372723914027
29,0.001,1,0.01,0.7343101386896222,0.003361248633076452
30,0.005,1,0.01,0.7205330135102822,0.0034154372322556473
31,0.01,1,0.01,0.650582993868279,0.0026995120361692345
32,0.02,1,0.01,0.6473982458837193,0.0025035130111339247
33,0.05,1,0.01,0.6413930129978821,0.002403300387028155
34,0.1,1,0.01,0.5,0
35,0,2,0.01,0.7376424258727882,0.004421372723914027
36,0.001,2,0.01,0.7343101386896222,0.003361248633076452
37,0.005,2,0.01,0.7205330135102822,0.0034154372322556473
38,0.01,2,0.01,0.650582993868279,0.0026995120361692345
39,0.02,2,0.01,0.6473982458837193,0.0025035130111339247
40,0.05,2,0.01,0.6413930129978821,0.002403300387028155
41,0.1,2,0.01,0.5,0
42,0,5,0.01,0.7376424258727882,0.004421372723914027
43,0.001,5,0.01,0.7343101386896222,0.003361248633076452
44,0.005,5,0.01,0.7205330135102822,0.0034154372322556473
45,0.01,5,0.01,0.650582993868279,0.0026995120361692345
46,0.02,5,0.01,0.6473982458837193,0.0025035130111339247
47,0.05,5,0.01,0.6413930129978821,0.002403300387028155
48,0.1,5,0.01,0.5,0
49,0,10,0.01,0.7376424258727882,0.004421372723914027
50,0.001,10,0.01,0.7343101386896222,0.003361248633076452
51,0.005,10,0.01,0.7205330135102822,0.0034154372322556473
52,0.01,10,0.01,0.650582993868279,0.0026995120361692345
53,0.02,10,0.01,0.6473982458837193,0.0025035130111339247
54,0.05,10,0.01,0.6413930129978821,0.002403300387028155
55,0.1,10,0.01,0.5,0
56,0,1,0.05,0.7068975349286056,0.004291347534415731
57,0.001,1,0.05,0.7068975349286056,0.004291347534415731
58,0.005,1,0.05,0.6813141460852634,0.013620095348432289
59,0.01,1,0.05,0.6452881503211041,0.00217017090571267
60,0.02,1,0.05,0.6425546666837467,0.0023710804760727682
61,0.05,1,0.05,0.6413930129978821,0.002403300387028155
62,0.1,1,0.05,0.5,0
63,0,2,0.05,0.7068975349286056,0.004291347534415731
64,0.001,2,0.05,0.7068975349286056,0.004291347534415731
65,0.005,2,0.05,0.6813141460852634,0.013620095348432289
66,0.01,2,0.05,0.6452881503211041,0.00217017090571267
67,0.02,2,0.05,0.6425546666837467,0.0023710804760727682
68,0.05,2,0.05,0.6413930129978821,0.002403300387028155
69,0.1,2,0.05,0.5,0
70,0,5,0.05,0.7068975349286056,0.004291347534415731
71,0.001,5,0.05,0.7068975349286056,0.004291347534415731
72,0.005,5,0.05,0.6813141460852634,0.013620095348432289
73,0.01,5,0.05,0.6452881503211041,0.00217017090571267
74,0.02,5,0.05,0.6425546666837467,0.0023710804760727682
75,0.05,5,0.05,0.6413930129978821,0.002403300387028155
76,0.1,5,0.05,0.5,0
77,0,10,0.05,0.7068975349286056,0.004291347534415731
78,0.001,10,0.05,0.7068975349286056,0.004291347534415731
79,0.005,10,0.05,0.6813141460852634,0.013620095348432289
80,0.01,10,0.05,0.6452881503211041,0.00217017090571267
81,0.02,10,0.05,0.6425546666837467,0.0023710804760727682
82,0.05,10,0.05,0.6413930129978821,0.002403300387028155
83,0.1,10,0.05,0.5,0
84,0,1,0.1,0.6413930129978821,0.002403300387028155
85,0.001,1,0.1,0.6413930129978821,0.002403300387028155
86,0.005,1,0.1,0.6413930129978821,0.002403300387028155
87,0.01,1,0.1,0.6413930129978821,0.002403300387028155
88,0.02,1,0.1,0.6413930129978821,0.002403300387028155
89,0.05,1,0.1,0.6413930129978821,0.002403300387028155
90,0.1,1,0.1,0.5,0
91,0,2,0.1,0.6413930129978821,0.002403300387028155
92,0.001,2,0.1,0.6413930129978821,0.002403300387028155
