number,max_depth,min_samples_leaf,value,std_err
0,2,1,0.7844857104427136,0.00276341053706092
1,4,1,0.7950228231536517,0.003115260904194195
2,6,1,0.8035816338730615,0.0030475221731280843
3,8,1,0.8105906691945071,0.003070128768966997
4,12,1,0.8210607322197172,0.002943546160692555
5,16,1,0.8262725456036073,0.002882519050745316
6,24,1,0.8283777413404386,0.003349802088366928
7,32,1,0.8281679455318713,0.0032782174325639377
8,2,2,0.7842127719990435,0.0025549506401489055
9,4,2,0.7948146819703491,0.002902959213839587
10,6,2,0.8033491536858646,0.0032806748015125216
11,8,2,0.8106518156042904,0.003203866170133218
12,12,2,0.8206350985516158,0.0029962964307369577
13,16,2,0.8262602693516431,0.0032283711596920546
14,24,2,0.8279594734235157,0.0030364618469500564
15,32,2,0.8279023408143745,0.0033341045501855513
16,2,5,0.7829372907699665,0.0034353926368133184
17,4,5,0.7943306880679101,0.0028179718276621388
18,6,5,0.8036665428366468,0.003067983975858874
19,8,5,0.8102242817858851,0.002986230031264417
20,12,5,0.8196311146409784,0.0030272643743961885
21,16,5,0.8241281939605111,0.0030882042118230758
22,24,5,0.8253468948555032,0.0030193200006072137
23,32,5,0.8256736139577783,0.0033903307610601294
24,2,10,0.7816638804912209,0.002994044215105685
25,4,10,0.7950438529070165,0.0033225620924019904
26,6,10,0.8035892344742775,0.0031385679662566117
27,8,10,0.8096953995012639,0.003181524040039667
28,12,10,0.8178649356083897,0.0031686650461519696
29,16,10,0.8210140824622532,0.003425235648500793
30,24,10,0.8223225174216028,0.0032282644961511373
31,32,10,0.822154962594794,0.0032738559994185037
32,2,25,0.7833503386110542,0.0025147414055300753
33,4,25,0.7960489790428367,0.0033713344485667273
34,6,25,0.803526593564255,0.002935573661518718
35,8,25,0.8085146802623489,0.002982714843887826
36,12,25,0.8138758369201339,0.00316072337555285
37,16,25,0.8159709554553529,0.0033098515998038975
38,24,25,0.816463393284143,0.0033232235227967258
39,32,25,0.8164734918357587,0.003359033991832883
40,2,50,0.783041905786705,0.0034924627400290875
41,4,50,0.7942329157272665,0.0030093492658605767
42,6,50,0.8023009966181595,0.002921625137828926
43,8,50,0.8067859704857553,0.0032754409521074637
44,12,50,0.8110484773177564,0.0033737922911804678
45,16,50,0.8118348833435813,0.0033079307640614597
46,24,50,0.8116414736626357,0.003311551974725139
47,32,50,0.8117540949306552,0.0032935224993786015
48,2,100,0.7834539501776321,0.0030947629983278926
49,4,100,0.7945417969016875,0.002906851643825551
50,6,100,0.8007239359158298,0.0030905398297999425
51,8,100,0.8042288165266106,0.003407739130849475
52,12,100,0.8074365691398511,0.003226540947566674
53,16,100,0.807295018617203,0.0033012397007344684
54,24,100,0.8074303349388536,0.0033463973514203027
55,32,100,0.8078592351574776,0.003511542034692827
56,2,200,0.7832762327491972,0.002896363495935129
57,4,200,0.7937242945958871,0.002947931303891925
58,6,200,0.798220818815331,0.003006029611922736
59,8,200,0.8014693285850926,0.0034012055146516234
60,12,200,0.8028769770103164,0.003329355214175737
61,16,200,0.8030235447837671,0.0032243457407016623
62,24,200,0.8028888476122156,0.0032748248405944035
63,32,200,0.80324637476942,0.0031416407971202208
