number,max_depth,min_samples_leaf,min_samples_split,value,std_err
0,4,1,2,0.7624811960438722,0.0032803298106918897
1,8,1,2,0.7742704345678458,0.0032822788874857147
2,16,1,2,0.7858053987000011,0.003649318957826531
3,32,1,2,0.7860995964165834,0.003680622262450928
4,4,5,2,0.7624866688370735,0.003324630686467682
5,8,5,2,0.7739605902758288,0.0032152601882828864
6,16,5,2,0.7836101069860907,0.003638548828176038
7,32,5,2,0.7839655578881193,0.0038315671315488765
8,4,20,2,0.7622695813734185,0.003324887725087206
9,8,20,2,0.7724630095310798,0.0035088545395976713
10,16,20,2,0.7778353278624112,0.003404535120337534
11,32,20,2,0.7780709386261325,0.0034611878331477284
12,4,50,2,0.7614437509121322,0.0033760300322532117
13,8,50,2,0.7698376124027527,0.003198539200396112
14,16,50,2,0.7726981993107087,0.003301402249414123
15,32,50,2,0.7727133547380356,0.0032907367049273273
16,4,100,2,0.7605626312067088,0.0033333540449206524
17,8,100,2,0.7667745321463453,0.0033863910675370457
18,16,100,2,0.7688018512073823,0.0033750727219781706
19,32,100,2,0.76880143022329,0.0033778002943732873
20,4,1,10,0.7624736183302088,0.003282177985233091
21,8,1,10,0.7749190307262256,0.003171969269124392
22,16,1,10,0.784606295676774,0.003707050187334169
23,32,1,10,0.7847019993937829,0.0038624274368358486
24,4,5,10,0.7624847042446422,0.003323483489767169
25,8,5,10,0.774060363505731,0.003227802494536163
26,16,5,10,0.7831364998821244,0.0036916854039326366
27,32,5,10,0.783934826049373,0.0037320793093499763
28,4,20,10,0.7622695813734185,0.003324887725087206
29,8,20,10,0.7724630095310798,0.0035088545395976713
30,16,20,10,0.7778353278624112,0.003404535120337534
31,32,20,10,0.7780709386261325,0.0034611878331477284
32,4,50,10,0.7614437509121322,0.0033760300322532117
33,8,50,10,0.7698376124027527,0.003198539200396112
34,16,50,10,0.7726981993107087,0.003301402249414123
35,32,50,10,0.7727133547380356,0.0032907367049273273
36,4,100,10,0.7605626312067088,0.0033333540449206524
37,8,100,10,0.7667745321463453,0.0033863910675370457
38,16,100,10,0.7688018512073823,0.0033750727219781706
39,32,100,10,0.76880143022329,0.0033778002943732873
40,4,1,50,0.7624608484794054,0.003283662342268389
41,8,1,50,0.7743393356309709,0.0033463158028990505
42,16,1,50,0.7818863174556844,0.0035539564502568228
43,32,1,50,0.7821088777125408,0.003475960373707272
44,4,5,50,0.7624608484794054,0.0033365291716036306
45,8,5,50,0.7739761666872481,0.0032928618938625996
46,16,5,50,0.780882270395276,0.003483300707242688
47,32,5,50,0.7812549816450935,0.0035660834398551096
48,4,20,50,0.7622611616915702,0.003326431127705396
49,8,20,50,0.7727718715268812,0.003304086626349789
50,16,20,50,0.7777596910538074,0.0033452243912782975
51,32,20,50,0.7779042289255363,0.0033232297186180384
52,4,50,50,0.7614437509121322,0.0033760300322532117
53,8,50,50,0.7698376124027527,0.003198539200396112
54,16,50,50,0.7726981993107087,0.003301402249414123
55,32,50,50,0.7727133547380356,0.0032907367049273273
56,4,100,50,0.7605626312067088,0.0033333540449206524
57,8,100,50,0.7667745321463453,0.0033863910675370457
58,16,100,50,0.7688018512073823,0.0033750727219781706
59,32,100,50,0.76880143022329,0.0033778002943732873
60,4,1,150,0.7623683723071051,0.003322985528195332
61,8,1,150,0.7732332700921675,0.003459492441281533
62,16,1,150,0.7776088384206922,0.003534238005783537
63,32,1,150,0.7777417290658644,0.0035409824896045043
64,4,5,150,0.7623598122972259,0.0033392280426207195
65,8,5,150,0.7729963963761689,0.003514226314712882
66,16,5,150,0.7772479147254623,0.003723350667071792
67,32,5,150,0.7773097993870471,0.0036881485169196733
68,4,20,150,0.7621650369904689,0.003374711107734478
69,8,20,150,0.771988420130898,0.0036124301480120473
70,16,20,150,0.7754319296788171,0.0035574029845398787
71,32,20,150,0.7754837107221841,0.0035405609900613774
72,4,50,150,0.7614365941825612,0.003387357872605425
73,8,50,150,0.7695631307744984,0.0032666324858963676
74,16,50,150,0.7722201017097567,0.003237066109505843
75,32,50,150,0.7722216453180956,0.0032312127208241805
76,4,100,150,0.7605626312067088,0.0033333540449206524
77,8,100,150,0.7667745321463453,0.0033863910675370457
78,16,100,150,0.7688018512073823,0.0033750727219781706
79,32,100,150,0.76880143022329,0.0033778002943732873
