number,learning_rate,subsample,value,std_err
0,0.02,0.4,0.7843565819459569,0.0025633993762398323
1,0.05,0.4,0.7856567913153788,0.0030249133349149956
2,0.1,0.4,0.7739485220651796,0.005097845827983358
3,0.15,0.4,0.7668359958238378,0.0037884554034314675
4,0.2,0.4,0.7506598224008442,0.0025041264480223425
5,0.3,0.4,0.7449668545191239,0.0034143923300469932
6,0.5,0.4,0.7273279718670365,0.004818921851888105
7,0.7,0.4,0.7094945945642535,0.007852920451434818
8,0.02,0.55,0.7844627401012607,0.002667803746455021
9,0.05,0.55,0.7848425379166339,0.0031533096775474157
10,0.1,0.55,0.7778883718580554,0.003400913328231699
11,0.15,0.55,0.7690072914444807,0.004128702012506592
12,0.2,0.55,0.764861369938368,0.003978334047348083
13,0.3,0.55,0.7538705277456582,0.004640863794346655
14,0.5,0.55,0.7360473242251087,0.004902663407472277
15,0.7,0.55,0.7270040246079235,0.004565391706035336
16,0.02,0.7,0.7845058208067178,0.002926173395522039
17,0.05,0.7,0.7873666883707354,0.0027344613361307635
18,0.1,0.7,0.7811843264815833,0.003929784957723722
19,0.15,0.7,0.7750878453472838,0.004681806370190465
20,0.2,0.7,0.7675694904408545,0.004031875688990581
21,0.3,0.7,0.7621431458176634,0.003585025841579101
22,0.5,0.7,0.7493075513319937,0.004428248732906472
23,0.7,0.7,0.7354074985686541,0.0036789233768553934
24,0.02,0.85,0.7828237087014606,0.00296800532432021
25,0.05,0.85,0.7865781851656433,0.0027327888588810985
26,0.1,0.85,0.7819925457750037,0.0033583199486944904
27,0.15,0.85,0.77490583989133,0.003437251877751066
28,0.2,0.85,0.7707898784197941,0.0042854737821576795
29,0.3,0.85,0.7620002918823041,0.0030515909988565234
30,0.5,0.85,0.7465844858942263,0.003971478220683071
31,0.7,0.85,0.7471573049159717,0.0040257275908012315
32,0.02,1,0.7787954522491777,0.0029292633139332298
33,0.05,1,0.7820388540251693,0.002527426785519175
34,0.1,1,0.7812399665457974,0.002955115649616478
35,0.15,1,0.7743603146715763,0.002879432087156783
36,0.2,1,0.7727324393502251,0.0032805602548612307
37,0.3,1,0.7660218827531238,0.003905951574323011
38,0.5,1,0.7585964250030872,0.00449011704853026
39,0.7,1,0.7513606205866834,0.0031241946876161305
