number,max_depth,min_samples_leaf,value,std_err
0,2,1,0.7953204527395862,0.003130453731338025
1,4,1,0.8064474001421884,0.003218697936950247
2,6,1,0.8159376745067072,0.003123955030427128
3,8,1,0.8240064648969381,0.0030412167545570403
4,12,1,0.8350720043886515,0.002835357338944552
5,16,1,0.8405122471420875,0.0029519294198131576
6,24,1,0.8424685980177268,0.0033111949262400694
7,32,1,0.8425560512468543,0.003286092919706942
8,2,2,0.7953186692349135,0.003131382735155232
9,4,2,0.8064421111283312,0.0032214038537844
10,6,2,0.815979064115148,0.00310825212115051
11,8,2,0.8238573270061967,0.00284916576806179
12,12,2,0.8349027559452206,0.0030504654439617125
13,16,2,0.8397152050538372,0.0033675200390060264
14,24,2,0.8414448970856304,0.0033762371486027484
15,32,2,0.8415487093576185,0.003387004880117884
16,2,5,0.7953169472304018,0.0031307309589769933
17,4,5,0.8064378676172131,0.0032194928737449067
18,6,5,0.8158477612711346,0.0032246002128742467
19,8,5,0.8236083128537797,0.003083497984919862
20,12,5,0.8344325872133785,0.0031463384783432875
21,16,5,0.8388968839098359,0.003215088105066321
22,24,5,0.8402145248620552,0.003314222334511256
23,32,5,0.840202655330957,0.0033178964313170444
24,2,10,0.7953168242300794,0.003132501096970764
25,4,10,0.8064219390754803,0.003222981374946679
26,6,10,0.8156976393778151,0.0031173061290691497
27,8,10,0.8234697837408333,0.0031648715262805084
28,12,10,0.8327350597658566,0.0032395892989970842
29,16,10,0.8364978241242992,0.0034840507340303498
30,24,10,0.8373821349411935,0.0036062700056256163
31,32,10,0.8373914214655243,0.0036084216463539904
32,2,25,0.7953258647537657,0.0031352016525491287
33,4,25,0.806430672098361,0.003219392684547387
34,6,25,0.8152421076843221,0.0031346382725449197
35,8,25,0.8218515607510892,0.003153568541797632
36,12,25,0.8292826867206392,0.003243675210030055
37,16,25,0.8314664959422193,0.0033250824374560423
38,24,25,0.8318788545225989,0.0033707481280606357
39,32,25,0.8318768865174427,0.003371069648759391
40,2,50,0.7953190689859607,0.003108851461917272
41,4,50,0.8063371303532816,0.003279443494371354
42,6,50,0.8145305508200431,0.003227783395600763
43,8,50,0.8198767905771913,0.003220691657564538
44,12,50,0.8257599574910887,0.0033694815322664134
45,16,50,0.8269708956637466,0.00330299744123328
46,24,50,0.827079996949592,0.0033160013255778605
47,32,50,0.8270796894487863,0.003316613461026191
48,2,100,0.7954421000583022,0.003164863881727775
49,4,100,0.806036025564387,0.0032441917216887678
50,6,100,0.8129945227956498,0.003195345270063004
51,8,100,0.8174230263983292,0.003154782700773742
52,12,100,0.821054088161711,0.003157685366676456
53,16,100,0.8217490399824847,0.0031219962727787117
54,24,100,0.82177271754452,0.0031180000189728494
55,32,100,0.82177271754452,0.0031180000189728494
56,2,200,0.7953403787917924,0.0031111064212261
57,4,200,0.8048533159656879,0.0032411965961701367
58,6,200,0.8108652642169922,0.0030697357101553972
59,8,200,0.8138185327045557,0.003091997703824495
60,12,200,0.8158294034730371,0.0031631469015875567
61,16,200,0.8160293404968721,0.0031658693812437228
62,24,200,0.8160356750134685,0.0031696238672757515
63,32,200,0.8160356750134685,0.0031696238672757515
