number,learning_rate,subsample,gamma,value,std_err
0,0.05,0.4,0,0.8489701798018711,0.0038275532199129364
1,0.1,0.4,0,0.8441364516375033,0.0032227858557524773
2,0.2,0.4,0,0.8294643274465379,0.0030049761207305223
3,0.3,0.4,0,0.8252991060336579,0.003856281581390045
4,0.5,0.4,0,0.8006908928101392,0.002383907746789081
5,0.05,0.6,0,0.8494169169723225,0.003971714685709313
6,0.1,0.6,0,0.8456006474736963,0.003576179643954825
7,0.2,0.6,0,0.836053546960293,0.0028439432875319763
8,0.3,0.6,0,0.8272254140805849,0.0038507634046846353
9,0.5,0.6,0,0.8144409758353567,0.0033619542029390548
10,0.05,0.8,0,0.8495989574492685,0.003631624104808708
11,0.1,0.8,0,0.8457355788272165,0.0033146621276109196
12,0.2,0.8,0,0.8369489278061909,0.0028828310504263824
13,0.3,0.8,0,0.8292981540111635,0.0034599120233651977
14,0.5,0.8,0,0.8220330169765044,0.00414110755835642
15,0.05,1,0,0.8467352946964721,0.0034188941915467863
16,0.1,1,0,0.8437018299987946,0.0032202739109407578
17,0.2,1,0,0.8357026577909634,0.0035244350904744277
18,0.3,1,0,0.8307713288708817,0.003194330364597963
19,0.5,1,0,0.8240276209523669,0.0037896546187659247
20,0.05,0.4,0.001,0.8492623055672406,0.003818362936828024
21,0.1,0.4,0.001,0.8439301185969107,0.003359227361077961
22,0.2,0.4,0.001,0.8300072201189167,0.0033652080642520774
23,0.3,0.4,0.001,0.8235313454021249,0.0043457511338512705
24,0.5,0.4,0.001,0.8017943902013023,0.0025966995806079073
25,0.05,0.6,0.001,0.8494437925427365,0.0039901919889009764
26,0.1,0.6,0.001,0.8456242635355705,0.003563440535803414
27,0.2,0.6,0.001,0.8361069598502348,0.0028199428426006917
28,0.3,0.6,0.001,0.8279650765185005,0.0033236690405864765
29,0.5,0.6,0.001,0.8153122486180914,0.003996434981039773
30,0.05,0.8,0.001,0.8494929311714797,0.0035954312512683963
31,0.1,0.8,0.001,0.845501939715082,0.0034595404147826575
32,0.2,0.8,0.001,0.8374000007380019,0.003369895154848506
33,0.3,0.8,0.001,0.8291364085873905,0.003283320345322609
34,0.5,0.8,0.001,0.8227317203071072,0.004566809236093936
35,0.05,1,0.001,0.8470093394144693,0.00350984224137726
36,0.1,1,0.001,0.8438603159140278,0.0032875708090718105
37,0.2,1,0.001,0.8355689871907465,0.0035481498316821654
38,0.3,1,0.001,0.8298069755942761,0.002732121318946591
39,0.5,1,0.001,0.8238690427868921,0.003963126746479114
40,0.05,0.4,0.01,0.8482250130995344,0.0040869531032903545
41,0.1,0.4,0.01,0.8437869769718797,0.003550958433407005
42,0.2,0.4,0.01,0.8291469251149438,0.0040026158884512945
43,0.3,0.4,0.01,0.822031417972315,0.004046143063070855
44,0.5,0.4,0.01,0.7993071699347852,0.0031515364969758666
45,0.05,0.6,0.01,0.8489937958637451,0.003885033360971659
46,0.1,0.6,0.01,0.8451899493976675,0.003083069295549517
47,0.2,0.6,0.01,0.8347534643040765,0.0033339001048542077
48,0.3,0.6,0.01,0.8278295916635301,0.003526428650720074
49,0.5,0.6,0.01,0.8139921169093463,0.003288939642636834
50,0.05,0.8,0.01,0.8494824761440875,0.0036435917251599927
51,0.1,0.8,0.01,0.8462242591075588,0.0030183444652679466
52,0.2,0.8,0.01,0.8369560925749625,0.0029731980886733267
53,0.3,0.8,0.01,0.8289220497757704,0.003530724750434042
54,0.5,0.8,0.01,0.8210126985532702,0.0035337514477019353
55,0.05,1,0.01,0.8460026125268448,0.0036224466810857755
56,0.1,1,0.01,0.8440477684051532,0.003452548138372907
57,0.2,1,0.01,0.8365905048671227,0.0028698841390522277
58,0.3,1,0.01,0.8313052117696549,0.002851653879390713
59,0.5,1,0.01,0.8241054186561969,0.002727084882735199
60,0.05,0.4,0.1,0.8482552711788105,0.0037778128823098287
61,0.1,0.4,0.1,0.8430038031699643,0.003616280873045437
62,0.2,0.4,0.1,0.8318883870475741,0.003700775799925726
63,0.3,0.4,0.1,0.818300233946613,0.004098277870420714
64,0.5,0.4,0.1,0.799939176340642,0.0015613812118473083
65,0.05,0.6,0.1,0.8491070791605474,0.0037642496076193146
66,0.1,0.6,0.1,0.8452730976155157,0.00375554304515627
67,0.2,0.6,0.1,0.8348117972069087,0.003415834892570491
68,0.3,0.6,0.1,0.8290060589958745,0.002880486519517753
69,0.5,0.6,0.1,0.8134375084562722,0.0024878670834546845
70,0.05,0.8,0.1,0.8500087330228805,0.003336693601875129
71,0.1,0.8,0.1,0.844955879784405,0.00345556980554371
72,0.2,0.8,0.1,0.8368854903899848,0.0034513388205212334
73,0.3,0.8,0.1,0.8312744001889285,0.004380567229622723
74,0.5,0.8,0.1,0.8205557831061517,0.004216993181278645
75,0.05,1,0.1,0.8461660184549684,0.0035747714555633358
76,0.1,1,0.1,0.8442028718115242,0.0036244771527455567
77,0.2,1,0.1,0.8368906564035198,0.003192946715897146
78,0.3,1,0.1,0.832054375982465,0.0043055792268431115
79,0.5,1,0.1,0.8243499125467708,0.003334178631661342
80,0.05,0.4,1,0.8488152608959836,0.00407535180283713
81,0.1,0.4,1,0.8426546667552268,0.00362302045050961
82,0.2,0.4,1,0.8308270172667852,0.002909808927301089
83,0.3,0.4,1,0.8220725308300307,0.004072687244118609
84,0.5,0.4,1,0.8006790847792021,0.0032496150743701446
85,0.05,0.6,1,0.8494104594554038,0.0038857001409154848
86,0.1,0.6,1,0.8457663904079429,0.003441946099974743
87,0.2,0.6,1,0.8346861523777193,0.0038479349614796952
88,0.3,0.6,1,0.8270284290644841,0.0028109490002174776
89,0.5,0.6,1,0.8125199260522062,0.0041380432615675915
